_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;TOT_FEMALE_TEACHERS;LOCATION_LNG;SS01_BOYS_LATRINE;LOCATION_LAT;TOT_FEMALE_STUDENTS;TYPE_OF_WATER_SOURCE;STATUS;SCHOOL_REF;LOCATION_ALT;SS01_GIRLS_LATRINE;LOCATION_ACC;TOT_MALE_TEACHERS;NO_OF_GIRLS_TOILET_BY_OTHERS;SS03;TOT_MALE_STUDENTS;SS02;SS04;NO_OF_GIRLS_TOILET_BY_BRAC;psu;sl_no;sn;ID;district;upazila;union;name_lnstitute;girlsonly;female/male teacher;female/male students
shahidur;30:45,0;0;30:45,0;0;0;1;30:45,0;30:45,0;4;90,9748855;A;24,8873425;120;B;0;235324;0;A;3675;5;0;A;121;A;A;2;35;105;324;235324;Netrakona;Barhatta;Shingdha;Noni Gopal Monushri High School;0;0,8;0,991735537
shahidur;37:48,0;0;37:48,0;0;0;1;37:48,0;37:48,0;1;90,9046173;C;24,8886465;173;B;0;235320;0;B;2882;9;0;A;229;B;A;2;35;105;320;235320;Netrakona;Barhatta;Ashma;Uzangaon Monas Abbasia High School (Co-Ed);0;0,11;0,755458515
alim;07:07,0;0;07:07,0;0;0;1;07:07,0;07:07,0;1;0;B;0;97;D;0;226242;0;A;0;9;0;A;104;A;A;2;26;74;242;226242;Bogra;Nandigram;Burail;Burail high school;0;0,11;0,932692308
hannan;49:05,0;0;49:05,0;0;0;1;49:05,0;49:05,0;5;0;F;0;280;D;0;227259;0;A;0;12;0;A;0;A;A;2;27;76;259;227259;Bogra;Gabtoli;Sonaray;Shohid ziaur rahaman Girls school;1;0,42;
hannan;49:07,0;0;49:07,0;0;0;1;49:07,0;49:07,0;5;0;B;0;157;B;0;227254;0;A;0;7;0;A;134;A;A;2;27;76;254;227254;Bogra;Gabtoli;Poursova;Sondabari ajad High school;0;0,71;1,171641791
swapon;47:36,0;0;47:36,0;0;0;1;47:36,0;47:36,0;3;89,9378392;A;22,8678275;153;A;0;239359;0;A;3869;11;0;A;131;A;A;2;39;117;359;239359;Gopalgonj;Tungipara;Dumaria;Dumria High School (Co-Ed);0;0,27;1,167938931
jahurul;11:34,0;0;11:34,0;0;0;1;11:34,0;11:34,0;4;0;C;0;467;E;0;238082;0;A;0;14;4;E;480;B;B;2;38;112;82;238082;Tangail;Modhupur;Solakuri;Sholakuri High School;0;0,29;0,972916667
shariful;56:23,0;0;56:23,0;0;0;1;56:23,0;56:23,0;4;91,081904;C;23,531302;642;D;0;213133;0;A;2369;17;0;C;565;C;C;2;13;38;133;213133;Comilla;Burichong;Bharellah;Baralla Shanur Uddin High School;0;0,24;1,136283186
hannan;03:35,0;0;03:35,0;0;0;1;03:35,0;03:35,0;2;0;B;0;246;D;0;225239;0;A;0;7;0;A;362;B;A;2;25;71;239;225239;Bogra;Sonatoal;Modhupur;Shalika High School;0;0,29;0,679558011
shariful;26:19,0;0;26:19,0;0;0;1;26:19,0;26:19,0;2;91,1291978;C;23,5409796;117;E;0;213137;0;A;3152;9;0;C;125;C;C;2;13;38;137;213137;Comilla;Burichong;Sholonol;Nithilapur High School;0;0,22;0,936
