_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;wealth.reported;HH7_FUTURE;LOCATION_LNG;HOUSEHOLD_REF;LOCATION_LAT;STATUS;LOCATION_ALT;HH05;HH04;MEMBER_NO_CHILD_FEMALE;HH06;HH01;LOCATION_ACC;MEMBER_NO_ADOLESCENT_FEMALE;HH03;MEMBER_NO_ADULT_FEMALE;SEX_OF_INTERVIEWEE;HH02;MEMBER_NO_CHILD_MALE;HH07_DONE;MEMBER_NO_ADULT_MALE;MEMBER_NO_ADOLESCENT_MALE;hh0;hh;wealth.reported;psu;AREA;ID;division;district;upazila;union;vwc;ultrapoor;poor;nonpoor;CountSTratWealth;weight
milon;09:34,0;0;09:34,0;0;0;1;09:34,0;09:34,0;up;;89,1048497;20307;23,8877539;0;0;A;B;0;D;A;2611;2;B;2;F;D;2;C;1;0;0;7;up;2;1;20307;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;6,111111111
milon;09:35,0;0;09:35,0;0;0;1;09:35,0;09:35,0;up;;89,1048497;20309;23,8877539;0;0;A;B;1;C;A;2611;1;B;2;F;A;1;C;1;1;0;9;up;2;1;20309;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;6,111111111
milon;09:39,0;0;09:39,0;0;0;1;09:39,0;09:39,0;pp;;89,1119937;20313;23,8964104;0;0;A;B;0;C;B;1678;0;D;2;F;D;0;C;3;1;;13;pp;2;1;20313;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
milon;09:43,0;0;09:43,0;0;0;1;09:43,0;09:43,0;np;;89,1048497;20321;23,8877539;0;0;A;A;1;B;A;2611;0;C;3;F;A;0;C;3;0;;21;np;2;1;20321;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;12,11111111
milon;09:44,0;0;09:44,0;0;0;1;09:44,0;09:44,0;np;;89,1048497;20323;23,8877539;0;0;A;B;0;A;A;2611;0;B;2;F;A;0;;2;0;;23;np;2;1;20323;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;12,11111111
milon;11:28,0;0;11:28,0;0;0;1;11:28,0;11:28,0;pp;C;89,1102511;20322;23,8976781;0;0;A;B;1;C;D;1790;0;C;1;F;C;0;0;1;2;;22;np;2;1;20322;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;12,11111111
quddus;53:40,0;0;53:40,0;0;0;1;53:40,0;53:40,0;np;C;89,0511731;10325;23,4294282;0;0;A;A;0;B;B;4793;0;B;1;F;D;0;0;1;0;;25;np;1;1;10325;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;15,22222222
quddus;24:08,0;0;24:08,0;0;0;1;24:08,0;24:08,0;np;;89,0511731;10315;23,4294282;0;0;A;A;2;C;D;4793;0;B;2;M;D;0;C;2;0;;15;pp;1;1;10315;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;4,222222222
quddus;31:11,0;0;31:11,0;0;0;1;31:11,0;31:11,0;pp;;89,0511731;10314;23,4294282;0;0;A;C;1;D;D;4793;0;D;1;F;D;0;C;1;1;;14;pp;1;1;10314;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;4,222222222
quddus;39:35,0;0;39:35,0;0;0;1;39:35,0;39:35,0;pp;;89,0502209;10308;23,4292637;0;0;A;A;1;E;D;4816;0;D;1;M;C;0;C;1;1;0;8;up;1;1;10308;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;3,888888889
