_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;LOCATION_LNG;LOCATION_LAT;STATUS;LOCATION_ALT;VWC_REF;VWC_ESTABLISHED_YEAR;YEAR_OF_SOCIAL_MAP_MADE;HH_CENSUS_UP;HH_INEND12_UP;HH_CENSUS_PP;HH_INEND12_PP;TOT_NO_OF_HH_CENSUS2008OR12_NP;TOT_NO_OF_HH_INEND12_NP;Ratio NP / UP+P;TOTAL_NO_OF_FEMALE_MEMBER_START;TOTAL_NO_OF_FEMALE_MEMBER_NOW;TOTAL_NO_OF_MALE_MEMBER_START;TOTAL_NO_OF_MALE_MEMBER_NOW;IS_ARSENIC_PRONE_AREA;WATER_SUPPORT_VWC_TUBEWELL_BRAC;WATER_SUPPORT_VWC_TUBEWELL_OTHER;WATER_SUPPORT_VWC_DEEPTUBEWELL_BRAC;WATER_SUPPORT_VWC_DEEPTUBEWELL_OTHER;WATER_SUPPORT_VWC_SANDPONDFILTER_BRAC;WATER_SUPPORT_VWC_SANDPONDFILTER_OTHER;WATER_SUPPORT_VWC_NOTAPPLICABLE_BRAC;WATER_SUPPORT_VWC_NOTAPPLICABLE_OTHER;VWC01;VWC02;VWC03_SCORE_AGREED;VWC03_SCORE_MEN;VWC03_SCORE_WOMEN;LOCATION_ACC;NAME_INVIEWER1;NAME_INVIEWER2;SEX_INTERVIEWER2;SEX_INTERVIEWER1;hh0;hh;wealth;select0;select;psu;psu0;psu1;PSU2;id;district;upazila;union;vwc;ultrapoor;poor;nonpoor;totalHH;%up;%p;%np;weight_up;Weight_p;weight_np
shahidur;14:14,0;0;14:14,0;0;0;1;14:14,0;14:14,0;90,88697231;24,90092632;0;-27;5350300;2007;2007;40;0;79;0;66;0;PP&UP;6;6;5;5;No;Yes;No;No;Yes;No;No;0;0;A;A;A;A;A;15;Shohidur rahman;Nazmun naher;F;M;0;0;up;0;3;35;5;35;1;5350300;Netrakona;Barhatta;Ashma;Ashma -1;40;79;66;185;22%;43%;36%;;;
hafizur;17:26,0;0;17:26,0;0;0;1;17:26,0;17:26,0;90,0227436;23,4659162;0;0;5410100;2007;2007;73;0;96;0;115;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;B;A;A;A;3638;Hafizur rahaman;Shikha kirtuniya;F;M;0;0;up;0;1;41;5;41;1;5410100;Faridpur;Sadarpur;Dhewkhali;Chanrapara -2;45;88;156;289;16%;30%;54%;;;
alauddin;37:45,0;0;37:45,0;0;0;1;37:45,0;37:45,0;92,4195854;24,9494269;0;0;5590100;2012;2012;51;51;45;45;134;134;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;B;C;C;C;3976;Alauddin;Shabela begum;F;M;0;0;up;0;1;59;5;59;2;5590100;Sylhet;Zokijonj;Barohal;Mohitpur 2;51;45;134;230;22%;20%;58%;;;
murad;25:59,0;0;25:59,0;0;0;1;25:59,0;25:59,0;92,25948894;25,00626986;0;-22;5880100;2012;2012;10;0;158;0;38;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;E;E;E;E;50;Md Murad Hossain;Ruly Begum;F;M;0;0;up;0;1;88;5;88;2;5880100;Sylhet;Jaintapur;Charikata;Bughchra;10;80;116;206;5%;39%;56%;;;
ramzan;43:20,0;0;43:20,0;0;0;1;43:20,0;43:20,0;0;0;0;0;5210200;2007;2007;36;36;42;44;36;37;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;A;A;A;A;0;romjan;fatema;F;M;0;0;up;0;2;21;5;21;1;5210200;Mymensingh;Mymensingh Sadar;Chornilokkhia;Rosidpur purbopara;36;42;36;114;32%;37%;32%;;;
ershad;13:27,0;0;13:27,0;0;0;1;13:27,0;13:27,0;91,6616428;25,0298466;0;0;5680100;2012;2012;113;113;20;20;176;176;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;E;E;E;E;E;2064;Ershad hossain;Dulon rani;F;M;0;0;up;0;1;68;5;68;2;5680100;Sunamgonj;Chhatak;Chhatak Pourosova;Boula;113;20;176;309;37%;6%;57%;;;
amit;02:07,0;0;02:07,0;0;0;1;02:07,0;02:07,0;88,8410263;26,1041816;0;0;5310300;2007;2007;114;116;94;101;70;74;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;No;No;A;A;A;A;A;3855;Amit.kumorgolder;Aloraniroy;F;M;0;0;up;0;3;31;5;31;1;5310300;Nilphamari;Domar;Gorabari;Gorabari;114;94;70;278;41%;34%;25%;;;
harun;10:17,0;0;10:17,0;0;0;1;10:17,0;10:17,0;90,9808829;24,0682564;0;0;5960100;2012;2012;26;0;206;0;15;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;C;D;D;D;3293;Harun.ar.rashid;Shermin.akther;F;M;0;0;up;0;1;96;5;96;2;5960100;Kishoregonj;Bhairab;Shibpur;Jamalpur west para-1;26;129;92;247;11%;52%;37%;;;
aman;53:24,0;0;53:24,0;0;0;1;53:24,0;53:24,0;91,6770006;22,9082103;0;0;5820200;2012;2012;59;0;0;0;158;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;E;E;E;2608;Aman ullah;Salma akter khanam;F;M;0;0;up;0;2;82;5;82;2;5820200;Chittagong;Fatickchari;Datmara;Adariatila;59;0;158;217;27%;0%;73%;;;
harun;20:37,0;0;20:37,0;0;0;1;20:37,0;20:37,0;90,9798843;24,0672678;0;0;5960200;2012;2012;36;0;124;0;23;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;D;D;D;D;1936;Harun.ar.rashid;Shermin.akther;F;M;0;0;up;0;2;96;5;96;2;5960200;Kishoregonj;Bhairab;Shibpur;Jamalpur west para-2;36;82;65;183;20%;45%;36%;;;
kamrul;42:13,0;0;42:13,0;0;0;1;42:13,0;42:13,0;0;0;0;0;5850200;2012;2012;78;0;86;0;164;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Kamrul islam;Sultana razia;F;M;0;0;up;0;2;85;5;85;2;5850200;Chittagong;Fatickchari;SundorPur;We. Sundorpur-2;78;86;164;328;24%;26%;50%;;;
kamruzzaman;44:08,0;0;44:08,0;0;0;1;44:08,0;44:08,0;89,1634184;22,7815704;0;0;5910300;2012;2012;114;0;54;0;15;0;PP&UP;6;6;5;5;Yes;0;0;0;0;0;0;0;0;D;B;C;C;C;4235;Kamruzzaman;Penaki  bairagi;F;M;0;0;up;0;3;91;5;91;2;5910300;Satkhira;Tala;Dhandia;Uttar Sharsha-2;115;34;34;183;63%;19%;19%;;;
amit;50:54,0;0;50:54,0;0;0;1;50:54,0;50:54,0;88,4232935;26,2364905;0;0;5300100;2006;2006;54;82;116;140;72;21;PP&UP;6;6;5;5;No;Yes;No;No;Yes;No;No;0;0;A;A;A;A;A;4039;Alo rani roy;Amit kumer golder;M;F;0;0;up;0;1;30;5;30;1;5300100;Panchagar;Atwari;Merjapur;Baroauwlia-3;54;201;16;271;20%;74%;6%;;;
mamunur;55:33,0;0;55:33,0;0;0;1;55:33,0;55:33,0;91,8503482;22,6246309;0;0;5510200;2012;2012;56;0;14;0;207;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;D;2295;Mamun;Nasima;F;M;0;0;up;0;2;51;5;51;2;5510200;Chittagong;Fatickchari;Nanupur;Ka.Sw.Para;44;22;174;240;18%;9%;73%;;;
rezaul;26:01,0;0;26:01,0;0;0;1;26:01,0;26:01,0;0;0;0;0;5690100;2012;2012;19;0;6;0;210;0;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;E;E;E;E;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;1;69;5;69;2;5690100;Chandpur;Faridgonj;Faridgonj Pourosova;Karoachor-2;19;4;212;235;8%;2%;90%;;;
rezaul;32:57,0;0;32:57,0;0;0;1;32:57,0;32:57,0;0;0;0;0;5450100;2008;2008;86;0;77;0;87;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;B;A;A;A;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;1;45;5;45;1;5450100;Chandpur;Chandpur Sadar;Chandra;South Balia-6;40;117;93;250;16%;47%;37%;;;
mamunur;39:11,0;0;39:11,0;0;0;1;39:11,0;39:11,0;91,8503482;22,6246309;0;0;5780200;2012;2012;75;0;29;0;76;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;D;C;2295;Mamun;Nasima;F;M;0;0;up;0;2;78;5;78;2;5780200;Chittagong;Fatickchari;Dormopur;Azadi Bazar;125;48;94;267;47%;18%;35%;;;
ershad;45:24,0;0;45:24,0;0;0;1;45:24,0;45:24,0;91,6780594;24,9533736;0;0;5560100;2012;2012;15;15;84;84;76;76;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;E;C;D;D;D;3771;Ershad hossain;Fatema begum;F;M;0;0;up;0;1;56;5;56;2;5560100;Sunamgonj;Chhatak;Afjolabad;Sorishpur;15;84;76;175;9%;48%;43%;;;
ranjan;24:40,0;0;24:40,0;0;0;1;24:40,0;24:40,0;89,2521974;22,7688712;0;0;5640200;2012;2012;23;0;113;0;9;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;D;D;D;D;4036;Barnalihalder;Ranjanbanerjee;M;F;0;0;up;0;2;64;5;64;2;5640200;Satkhira;Tala;Kheshra;Batuadanga;23;16;106;145;16%;11%;73%;;;
momin;49:04,0;0;49:04,0;0;0;1;49:04,0;49:04,0;91,44436512;24,9221004;0;-7;5920300;2012;2012;67;0;84;0;119;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;Yes;Yes;D;C;C;C;C;15;MD. Abdul Momin;Ripa Rani Dey;F;M;0;0;up;0;3;92;5;92;2;5920300;Sunamgonj;Suanmgonj South;East Pagla;Ronshi-1;65;84;121;270;24%;31%;45%;;;
ershad;16:14,0;0;16:14,0;0;0;1;16:14,0;16:14,0;91,44433666;24,92203522;0;-29;5770200;2012;2012;13;0;64;0;51;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;10;Ershad hossain;Sabia akter;F;M;0;0;up;0;2;77;5;77;2;5770200;Sunamgonj;Suanmgonj South;West Birgaon;Umednagor;13;68;47;128;10%;53%;37%;;;
shahidul;31:24,0;0;31:24,0;0;0;1;31:24,0;31:24,0;90,873106;24,54611851;0;-73;5550300;2012;2012;7;7;19;19;43;43;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;B;A;A;A;50;Shahidul;Shefali;F;M;0;0;up;0;3;55;5;55;2;5550300;Kishoregonj;Tarail;Digdair;Gorail;7;19;43;69;10%;28%;62%;;;
mamunur;39:00,0;0;39:00,0;0;0;1;39:00,0;39:00,0;91,8310209;22,7283094;0;0;5860200;2012;2012;85;0;0;0;155;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;B;B;B;C;3809;Mamun;Nasima;F;M;0;0;up;0;2;86;5;86;2;5860200;Chittagong;Fatickchari;Roshangiri;North Rosangiri-2;85;0;155;240;35%;0%;65%;;;
aman;05:44,0;0;05:44,0;0;0;1;05:44,0;05:44,0;91,43204253;23,1617083;0;-35;5330200;2007;2007;24;0;24;0;144;0;NP;7;7;4;4;No;Yes;No;No;No;No;No;Yes;0;B;C;A;A;A;5;Aman ullah;Salma akter khanam;F;M;0;0;up;0;2;33;5;33;1;5330200;Feni;Fulgazi;Fulgazi;Ghoniamora-2;15;11;77;103;15%;11%;75%;;;
alauddin;05:56,0;0;05:56,0;0;0;1;05:56,0;05:56,0;0;0;0;0;5980200;2012;2012;7;7;16;16;37;37;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;D;D;D;0;Alauddin;Shabela;F;M;0;0;up;0;2;98;5;98;2;5980200;Sylhet;Zokigonj;Birosree;Mominpur;6;1;53;60;10%;2%;88%;;;
murad;15:31,0;0;15:31,0;0;0;1;15:31,0;15:31,0;92,18617514;25,05020135;0;-37;5750300;2012;2012;51;66;66;0;126;0;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;E;E;E;E;5;Md Murad Hossain;Ruly Begum;F;M;0;0;up;0;3;75;5;75;2;5750300;Sylhet;Kanighat;Borocutul;Surufoud;51;65;127;243;21%;27%;52%;;;
hannan;38:59,0;0;38:59,0;0;0;1;38:59,0;38:59,0;89,49817046;25,03832502;0;-30;5250300;2007;2007;60;0;64;0;176;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;A;C;A;A;A;20;M. A. HANNAN MIAH;MST.ALIMA AKTAR;F;M;0;0;up;0;3;25;5;25;1;5250300;Bogra;Sonatoal;Modhupur;Garamara;60;64;176;300;20%;21%;59%;;;
kamrul;55:07,0;0;55:07,0;0;0;1;55:07,0;55:07,0;0;0;0;0;5850300;2012;2012;94;0;35;0;181;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Kamrul islam;Sultana  razia;F;M;0;0;up;0;3;85;5;85;2;5850300;Chittagong;Fatickchari;SundorPur;Azim Pur-1;94;35;181;310;30%;11%;58%;;;
swapon;17:03,0;0;17:03,0;0;0;1;17:03,0;17:03,0;89,8836527;22,9035468;0;0;5390100;2007;2007;11;0;56;0;31;0;PP&UP;6;6;5;4;Yes;No;No;No;Yes;No;No;0;0;D;B;A;A;A;3372;swapon.ray;subarna;F;M;0;0;up;0;1;39;5;39;1;5390100;Gopalgonj;Tungipara;Gopalpur;Chaprail;1;63;34;98;1%;64%;35%;;;
murad;54:47,0;0;54:47,0;0;0;1;54:47,0;54:47,0;92,25955288;25,00639812;0;-38;5750100;2012;2012;37;55;55;0;78;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;E;E;E;E;30;Ruly Begum;Md Murad Hossain;M;F;0;0;up;0;1;75;5;75;2;5750100;Sylhet;Kanighat;Borocutul;Borocutul 2;37;55;78;170;22%;32%;46%;;;
momin;28:20,0;0;28:20,0;0;0;1;28:20,0;28:20,0;91,5550195;24,7630724;0;0;5160300;2008;2008;43;0;102;0;115;0;PP&UP;6;6;5;5;No;No;No;No;No;0;0;Yes;Yes;D;C;C;C;C;2432;Md.abdul momin;Sheikh ruhi akter;F;M;0;0;up;0;3;16;5;16;1;5160300;Sunamgonj;Jaganathpur;Mirpur;Lohori;35;102;123;260;13%;39%;47%;;;
jahurul;58:58,0;0;58:58,0;0;0;1;58:58,0;58:58,0;0;0;0;0;5370100;2007;2007;33;0;62;0;33;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;A;C;A;A;A;0;BulbulI;Johurul alam;M;F;0;0;up;0;1;37;5;37;1;5370100;Tangail;Shakhipur;Jadobpur;Noluea 8;12;40;76;128;9%;31%;59%;;;
ershad;23:14,0;0;23:14,0;0;0;1;23:14,0;23:14,0;92,006248;24,5126018;0;0;5500200;2007;2007;68;0;42;0;190;0;NP;6;6;5;5;Yes;Yes;No;No;No;No;No;0;0;B;A;A;A;A;3892;Ershad hossain;Rousonara akther;F;M;0;0;up;0;2;50;5;50;1;5500200;Mulavibazar;Kulaura;Kadipur;Munsur-1;68;42;190;300;23%;14%;63%;;;
momin;22:18,0;0;22:18,0;0;0;1;22:18,0;22:18,0;91,5549753;24,7630181;0;0;5160100;2008;2008;19;0;77;0;26;0;PP&UP;6;6;5;5;No;No;0;0;0;0;0;No;Yes;D;C;C;C;C;2426;Md. Abdul Momin;Sheikh Ruhi Akter;F;M;0;0;up;0;1;16;5;16;1;5160100;Sunamgonj;Jaganathpur;Asharkandi;Mithabhorang;10;100;10;120;8%;83%;8%;;;
shariful;21:41,0;0;21:41,0;0;0;1;21:41,0;21:41,0;91,171295;23,5169362;0;0;5120100;2008;2008;1;0;24;0;37;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;B;A;A;A;4805;Shariful;Nurunnesa;F;M;0;0;up;0;1;12;5;12;1;5120100;Comilla;Comilla Sadar;Amratoly;Krishnapur;1;24;37;62;2%;39%;60%;;;
ramzan;35:38,0;0;35:38,0;0;0;1;35:38,0;35:38,0;90,3362264;25,1030601;0;0;5230100;2007;2007;15;0;95;0;60;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;A;A;A;A;3579;G.M Romjan Ali;Fatema Khatun;F;M;0;0;up;0;1;23;5;23;1;5230100;Mymensingh;Haluaghat;Vhubonkura;Mohislate-2;20;87;67;174;11%;50%;39%;;;
kamrul;18:10,0;0;18:10,0;0;0;1;18:10,0;18:10,0;0;0;0;0;5110200;2007;2007;20;0;63;0;60;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;B;A;A;A;0;Kamrul islam;Babi barua;F;M;0;0;up;0;2;11;5;11;1;5110200;Cox?s Bazar;Ukhiya;Haldiya Palong;Kulal Para;20;63;60;143;14%;44%;42%;;;
amit;48:06,0;0;48:06,0;0;0;1;48:06,0;48:06,0;88,9213944;25,781698;0;0;5320300;2007;2007;11;0;74;57;185;233;NP;6;6;5;5;No;0;0;0;0;0;0;0;0;D;B;C;C;C;2325;Amit kumar golder;Alo rani ray;F;M;0;0;up;0;3;32;5;32;1;5320300;Nilphamari;Syedpur;Saidpur Pouroshova;Noyatola 01;123;154;63;340;36%;45%;19%;;;
shahidul;00:25,0;0;00:25,0;0;0;1;00:25,0;00:25,0;90,8731395;24,5460509;0;-60;5620100;2012;2012;16;16;37;37;147;147;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;40;Shahidul;Shefali;F;M;0;0;up;0;1;62;5;62;2;5620100;Kishoregonj;Tarail;Tarail Sachail;Tarail Bazar (1);16;37;147;200;8%;19%;74%;;;
shahidul;39:19,0;0;39:19,0;0;0;1;39:19,0;39:19,0;90,68241908;24,31829018;0;100;5360100;2007;2007;32;0;89;0;129;0;NP;6;6;5;5;No;No;No;Yes;No;No;No;0;0;A;A;A;A;A;250;Shahidul;Shefali;F;M;0;0;up;0;1;36;5;36;1;5360100;Kishoregonj;Pakundia;Sukhia;Chorpolash-2;32;89;129;250;13%;36%;52%;;;
shahjahan;00:07,0;0;00:07,0;0;0;1;00:07,0;00:07,0;0;0;0;0;5040200;2008;2008;1;0;31;0;31;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;No;Yes;A;B;A;A;A;0;Shahajan;Fatema;F;M;0;0;up;0;2;4;50;4;1;5040200;Gazipur;Kapasia;Durgapur;Takmarun-15;3;25;35;63;5%;40%;56%;;;
rezaul;23:35,0;0;23:35,0;0;0;1;23:35,0;23:35,0;0;0;0;0;5050200;2008;2008;12;0;123;0;47;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;B;A;A;A;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;2;5;50;5;1;5050200;Manikgonj;Singair;Dholla;Khaserchar Madrasha;10;82;90;182;5%;45%;49%;;;
harun;19:15,0;0;19:15,0;0;0;1;19:15,0;19:15,0;90,7967249;24,2560929;0;0;5940100;2012;2012;32;0;24;0;128;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;2835;Harun.ar.rashid;Shermin.akther;F;M;0;0;up;0;1;94;5;94;2;5940100;Kishoregonj;Katiadi;Lohajuri;Dokhain Purbachar paratala-1;32;24;128;184;17%;13%;70%;;;
hafizur;47:39,0;0;47:39,0;0;0;1;47:39,0;47:39,0;89,8188787;23,5960602;0;0;5420200;2007;2007;30;0;54;0;114;0;NP;6;6;5;5;Yes;No;No;No;Yes;No;No;0;Yes;D;B;A;A;A;1909;Hafizur rahaman;Shika kirtoniya;F;M;0;0;up;0;2;42;5;42;1;5420200;Faridpur;Bhanga;Pourosova;Purbo hasiamdia-2;32;68;98;198;16%;34%;49%;;;
ramzan;04:27,0;0;04:27,0;0;0;1;04:27,0;04:27,0;90,41105217;25,04787838;0;-65;5230200;2007;2007;15;21;60;101;125;153;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;A;A;A;A;50;romjan;fatema;F;M;0;0;up;0;2;23;5;23;1;5230200;Mymensingh;Haluaghat;Shodayse;Hapania-1;16;50;134;200;8%;25%;67%;;;
ranjan;17:34,0;0;17:34,0;0;0;1;17:34,0;17:34,0;89,72118487;22,55978769;0;-49;5340200;2007;2007;18;0;72;0;96;0;NP;6;6;5;5;Yes;No;No;No;Yes;No;No;0;0;D;B;C;C;C;15;Ranjanbanerjee;Barnali;F;M;0;0;up;0;2;34;5;34;1;5340200;Bagerhat;Rampal;Molliker Ber;Soto Sannasi;11;67;108;186;6%;36%;58%;;;
shariful;41:16,0;0;41:16,0;0;0;1;41:16,0;41:16,0;0;0;0;0;5120200;2008;2008;35;0;79;0;186;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;C;B;A;A;A;0;Shariful;Nurunnesa;F;M;0;0;up;0;2;12;5;12;1;5120200;Comilla;Comilla Sadar;Durgapur North;Shasangasa-1;35;79;186;300;12%;26%;62%;;;
sanjoy;51:48,0;0;51:48,0;0;0;1;51:48,0;51:48,0;89,1526817;22,9014591;0;0;5030200;2008;2008;27;0;135;0;20;0;PP&UP;6;6;5;5;No;Yes;0;No;0;No;0;0;0;C;C;C;C;C;3330;Sanjay kumar mondal.;Kazol Rekha.;F;M;0;0;up;0;2;3;50;3;1;5030200;Satkhira;Kolaroa;Jughikhali;Uphapur-3;35;96;51;182;19%;53%;28%;;;
meherul;01:49,0;0;01:49,0;0;0;1;01:49,0;01:49,0;0;0;0;0;5240300;2007;2007;36;0;33;0;141;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;Yes;0;A;A;A;A;A;0;meherul;shifali;F;M;0;0;up;0;3;24;5;24;1;5240300;Bogra;Shibganj;Atmool;Atoom Mughol;36;33;141;210;17%;16%;67%;;;
shariful;48:56,0;0;48:56,0;0;0;1;48:56,0;48:56,0;0;0;0;0;5140200;2008;2008;13;0;22;0;115;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;B;A;A;A;0;Shariful;Nurunnesa;F;M;0;0;up;0;2;14;5;14;1;5140200;Comilla;Nangalkot;Adra;Kakairtola-1;13;22;115;150;9%;15%;77%;;;
sanjoy;12:15,0;0;12:15,0;0;0;1;12:15,0;12:15,0;89,0376342;22,8657571;0;0;5030100;2008;2008;32;0;115;0;76;0;PP&UP;6;6;5;5;No;Yes;No;No;Yes;No;No;0;0;B;C;C;C;C;2500;Sanjay kumar mondal.;Kazol Rekha.;F;M;0;0;up;0;1;3;50;3;1;5030100;Satkhira;Kolaroa;Chandonpur;Sultanpur-3;52;26;145;223;23%;12%;65%;;;
momin;14:07,0;0;14:07,0;0;0;1;14:07,0;14:07,0;91,75020085;24,81803403;0;-50;5710100;2012;2012;105;0;33;0;61;0;PP&UP;6;6;5;5;No;0;0;0;0;0;0;Yes;Yes;D;C;C;C;C;5;MD. Abdul Momin;Rasna Begum;F;M;0;0;up;0;1;71;5;71;2;5710100;Sylhet;Bishwhanath;Dowlotpur;Durjakapon, Ramkrishnopur;104;39;56;199;52%;20%;28%;;;
alim;26:41,0;0;26:41,0;0;0;1;26:41,0;26:41,0;0;0;0;0;5440300;2007;2007;16;0;136;0;84;0;PP&UP;6;6;5;5;No;Yes;0;No;0;No;0;0;0;A;A;A;A;A;0;Alimuddin;Shabiha;F;M;0;0;up;0;3;44;5;44;1;5440300;Natore;Natore Sadar;kafura;Jalalabad-02;16;136;84;236;7%;58%;36%;;;
meherul;07:12,0;0;07:12,0;0;0;1;07:12,0;07:12,0;0;0;0;0;5240100;2007;2007;14;0;91;0;135;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;A;A;A;A;0;meherul;shefali;F;M;0;0;up;0;1;24;5;24;1;5240100;Bogra;Shibganj;Kichok;Satian Para;14;91;135;240;6%;38%;56%;;;
rezaul;29:11,0;0;29:11,0;0;0;1;29:11,0;29:11,0;0;0;0;0;5530200;2012;2012;25;0;4;0;135;0;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;2;53;5;53;2;5530200;Chandpur;Faridgonj;East Gupti;Dotra;25;3;134;162;15%;2%;83%;;;
bari;25:34,0;0;25:34,0;0;0;1;25:34,0;25:34,0;0;0;0;0;5700100;2012;2012;73;73;183;183;12;12;PP&UP;6;6;5;5;Yes;0;No;0;No;0;Yes;0;0;D;E;E;E;E;0;mongira;bari;M;F;0;0;up;0;1;70;5;70;2;5700100;Khulna;Paikgacha;Chandkhali;Uttar Gorer Abad;73;180;15;268;27%;67%;6%;;;
shahidul;41:39,0;0;41:39,0;0;0;1;41:39,0;41:39,0;90,91010351;24,13646098;0;-23;5870300;2012;2012;96;96;143;143;24;24;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;B;A;A;A;100;Shahidul;Shefali;F;M;0;0;up;0;3;87;5;87;2;5870300;Kishoregonj;Kuliarchor;Chhaysuti;Madhabdi-2;96;54;113;263;37%;21%;43%;;;
enamul;54:45,0;0;54:45,0;0;0;1;54:45,0;54:45,0;88,467609;25,7944578;0;0;5280200;2007;2007;119;0;71;0;82;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;E;B;A;A;A;3243;Enamul;Parul;F;M;0;0;up;0;2;28;5;28;1;5280200;Dinajpur;Bochaganj;Pouroshova;Labourline;119;25;128;272;44%;9%;47%;;;
sanjoy;03:41,0;0;03:41,0;0;0;1;03:41,0;03:41,0;89,04116651;22,86357952;0;-22;5030300;2008;2008;18;0;151;0;31;0;PP&UP;6;6;5;5;Yes;Yes;0;No;0;No;0;0;0;A;B;A;A;A;100;Sanjay kumar mondal.;Kazol Rekha.;F;M;0;0;up;0;3;3;50;3;1;5030300;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;200;20%;45%;36%;;;
alim;06:27,0;0;06:27,0;0;0;1;06:27,0;06:27,0;0;0;0;0;5440200;2007;2007;7;0;138;0;91;0;PP&UP;6;6;5;5;No;0;0;0;0;0;0;0;0;D;A;A;A;A;0;Shabiha khatun;Alimuddin;M;F;0;0;up;0;2;44;5;44;1;5440200;Natore;Natore Sadar;Laxmipur;Laxmipur-3;7;138;91;236;3%;58%;39%;;;
motilal;30:05,0;0;30:05,0;0;0;1;30:05,0;30:05,0;0;0;0;0;5660100;2012;2012;81;0;25;0;193;0;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Motilal;Rabya akther;F;M;0;0;up;0;1;66;5;66;2;5660100;Chandpur;Faridgonj;East Chordukia;Alonia-7;85;72;142;299;28%;24%;47%;;;
ranjan;50:48,0;0;50:48,0;0;0;1;50:48,0;50:48,0;89,2520523;22,7681936;0;0;5630300;2012;2012;73;0;70;0;107;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;E;0;0;0;4080;Ranjanbanerjee;Barnalihalder;F;M;0;0;up;0;3;63;5;63;2;5630300;Satkhira;Tala;Magura;Chorgram-1;73;;177;250;29%;0%;71%;;;
rezaul;45:13,0;0;45:13,0;0;0;1;45:13,0;45:13,0;0;0;0;0;5990300;2012;2013;24;0;13;0;211;0;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;D;D;D;D;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;3;99;5;99;2;5990300;Chandpur;Faridgonj;Paikpara;Paikpara-1;24;28;196;248;10%;11%;79%;;;
