_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;LOCATION_LNG;LOCATION_LAT;STATUS;LOCATION_ALT;VWC_REF;VWC_ESTABLISHED_YEAR;YEAR_OF_SOCIAL_MAP_MADE;HH_CENSUS_UP;HH_INEND12_UP;HH_CENSUS_PP;HH_INEND12_PP;TOT_NO_OF_HH_CENSUS2008OR12_NP;TOT_NO_OF_HH_INEND12_NP;Ratio NP / UP+P;TOTAL_NO_OF_FEMALE_MEMBER_START;TOTAL_NO_OF_FEMALE_MEMBER_NOW;TOTAL_NO_OF_MALE_MEMBER_START;TOTAL_NO_OF_MALE_MEMBER_NOW;IS_ARSENIC_PRONE_AREA;WATER_SUPPORT_VWC_TUBEWELL_BRAC;WATER_SUPPORT_VWC_TUBEWELL_OTHER;WATER_SUPPORT_VWC_DEEPTUBEWELL_BRAC;WATER_SUPPORT_VWC_DEEPTUBEWELL_OTHER;WATER_SUPPORT_VWC_SANDPONDFILTER_BRAC;WATER_SUPPORT_VWC_SANDPONDFILTER_OTHER;WATER_SUPPORT_VWC_NOTAPPLICABLE_BRAC;WATER_SUPPORT_VWC_NOTAPPLICABLE_OTHER;VWC01;VWC02;VWC03_SCORE_AGREED;VWC03_SCORE_MEN;VWC03_SCORE_WOMEN;LOCATION_ACC;NAME_INVIEWER1;NAME_INVIEWER2;SEX_INTERVIEWER2;SEX_INTERVIEWER1;hh0;hh;wealth;select0;select;psu;psu0;psu1;PSU2;id;district;upazila;union;vwc;ultrapoor;poor;nonpoor;totalHH;%up;%p;%np;weight_up;Weight_p;weight_np
quddus;43:46,0;0;43:46,0;0;0;1;43:45,0;43:45,0;89,0511731;23,4294282;0;0;5010300;2008;2008;46;0;48;0;116;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;B;A;A;A;4793;Abdul.quddus.;Sumitra kormorker.;F;M;0;0;up;0;3;1;50;1;1;5010300;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;210;17%;18%;65%;;;
habibur;16:35,0;0;16:35,0;0;0;1;16:35,0;16:35,0;89,34643694;25,9206642;0;-18;5100300;2008;0;22;0;107;0;103;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;E;C;A;A;A;20;Habibur rahman;Bithi rani;F;M;0;0;up;0;3;10;5;10;1;5100300;Lalmonirhat;Aditmari;Saptibari;Khutamara;17;132;83;232;7%;57%;36%;;;
kamruzzaman;53:33,0;0;53:33,0;0;0;1;53:33,0;53:33,0;89,5544153;22,7244219;0;0;5200300;2007;2007;22;34;54;66;58;57;PP&UP;6;6;5;5;No;No;0;Yes;0;No;0;0;0;A;B;A;A;A;4177;Kamruzzaman;Penakibairagi;F;M;0;0;up;0;3;20;5;20;1;5200300;Khulna;Batiaghata;Amirpur;Shamgonj;22;58;54;134;16%;43%;40%;;;
sanjoy;18:53,0;0;18:53,0;0;0;1;18:53,0;18:53,0;89,3401758;23,1973688;0;0;5170300;2007;2007;10;0;120;0;45;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;A;C;A;A;A;3728;Sanjay kumar mondal.;Kazol Rekha.;F;M;0;0;up;0;3;17;5;17;1;5170300;Jessore;Bagharpara;Basuary;Ramnagar;10;45;120;175;6%;26%;69%;;;
rezaul;34:44,0;0;34:44,0;0;0;1;34:44,0;34:44,0;0;0;0;0;5060300;2008;2008;7;0;28;0;50;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;A;A;A;A;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;3;6;50;6;1;5060300;Dhaka;Dhamrai;Nannar;Salakora;7;40;48;95;7%;42%;51%;;;
swapon;34:00,0;0;34:00,0;0;0;1;34:00,0;34:00,0;89,9351983;22,9545614;0;0;5390300;2007;2007;12;0;80;0;30;0;PP&UP;6;6;5;5;Yes;No;No;No;Yes;No;No;0;0;D;A;A;B;B;4807;swapon.ray;subarna;F;M;0;0;up;0;3;39;5;39;1;5390300;Gopalgonj;Tungipara;Dumaria;West Tarail;1;22;20;43;2%;51%;47%;;;
kamrul;31:36,0;0;31:36,0;0;0;1;31:36,0;31:36,0;0;0;0;0;5110100;2008;2008;17;0;133;0;15;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;A;C;A;A;A;0;Kamrul islam;Babi barua;F;M;0;0;up;0;1;11;5;11;1;5110100;Cox?s Bazar;Ukhiya;Haldiya Palong;Madhya Haldia;17;133;15;165;10%;81%;9%;;;
shahjahan;24:39,0;0;24:39,0;0;0;1;24:39,0;24:39,0;0;0;0;0;5720200;2012;2012;43;43;91;91;156;156;NP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Shahajan;Fatema;F;M;0;0;up;0;2;72;5;72;2;5720200;Kishoregonj;Bajitpur;Kailag;Kokrarail- 7;43;91;156;290;15%;31%;54%;;;
rezaul;44:44,0;0;44:44,0;0;0;1;44:44,0;44:44,0;0;0;0;0;5050100;2008;2008;24;0;74;0;82;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;A;A;A;A;A;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;1;5;50;5;1;5050100;Manikgonj;Singair;Talebpur;Irta-1;11;85;84;180;6%;47%;47%;;;
quddus;55:51,0;0;55:51,0;0;0;1;55:51,0;55:51,0;89,0060792;23,4251348;0;0;5010200;2008;2008;34;0;141;0;125;0;PP&UP;6;6;5;5;No;Yes;0;No;0;No;0;0;0;A;B;A;A;A;4546;Abdul.quddus.;Sumitra komoker.;F;M;0;0;up;0;2;1;50;1;1;5010200;Jhenidah;Kotchandpur;Baluhar;Fulbari-2;33;143;115;291;11%;49%;40%;;;
