_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;DIS_BW_UPZ_RCS;LOCATION_ACC;LOCATION_LNG;ORIENTATION_SUP_REC_FBRAC;LOCATION_LAT;RSC01;STATUS;MAX_ESTM_TRAVEL_TIME;LOCATION_ALT;RSC_REF;FINANCIAL_SUP_REC_FBRAC;psu;area;sl_no;rscnr;ID;district;upazila;union;rsc;loan
motilal;31:12,0;0;31:12,0;0;0;1;31:12,0;31:12,0;10;5000;90,6757937;Yes;23,5336215;B;0;120;0;146165;Yes;46;1;138;165;146165;Chandpur;Matlab North;Shatnol;Roni Enterprise;1
aman;08:00,0;0;08:00,0;0;0;1;08:00,0;08:00,0;8;2346;91,4338489;Yes;23,1137266;C;0;120;0;133125;Yes;33;1;98;125;133125;Feni;Fulgazi;Amjad Hat;Razzak Sanitation Centre;1
harun;14:28,0;0;14:28,0;0;0;1;14:28,0;14:28,0;3;3201;90,8126578;Yes;24,2816242;B;0;120;0;161493;No;61;2;12;493;161493;Kishoregonj;Katiadi;Mumurdia;Rashin sanitary center;0
momin;40:07,0;0;40:07,0;0;0;1;40:07,0;40:07,0;9;4964;91,5015779;Yes;24,827202;B;0;180;0;116183;Yes;16;1;49;183;116183;Sunamgonj;Jaganathpur;Kolkolia;Mamun Senetary Centre;1
motilal;15:19,0;0;15:19,0;0;0;1;15:19,0;15:19,0;10;3653;90,6419499;Yes;23,4854599;B;0;120;0;146166;Yes;46;1;138;166;146166;Chandpur;Matlab North;Shatnol;Kasham Enterprise;1
rezaul;50:08,0;0;50:08,0;0;0;1;50:08,0;50:08,0;4;0;0;No;0;B;0;40;0;106075;Yes;6;1;18;75;106075;Dhaka;Dhamrai;Saupur;Dubu  Sanitary;1
shahidul;10:12,0;0;10:12,0;0;0;1;10:12,0;10:12,0;2;30;90,68251082;Yes;24,31827565;A;0;90;112;136366;Yes;36;1;108;366;136366;Kishoregonj;Pakundia;Pakundia;Hossainia Dalai Karkhana;1
alauddin;42:15,0;0;42:15,0;0;0;1;42:15,0;42:15,0;0;2551;92,1685572;Yes;24,831315;E;0;0;0;115172;No;15;1;45;172;115172;Sylhet;Beanibazar;Dubag;kopy Sanitary;0
motilal;14:50,0;0;14:50,0;0;0;1;14:50,0;14:50,0;10;35;90,60401081;Yes;23,39649361;B;0;60;-71;146168;Yes;46;1;138;168;146168;Chandpur;Matlab North;Mohonpur;Chadni Canitary Center;1
shahidul;30:29,0;0;30:29,0;0;0;1;30:29,0;30:29,0;0;70;90,68059722;Yes;24,32164102;E;0;0;-101;136369;Yes;36;1;108;369;136369;Kishoregonj;Pakundia;Pakundia;Putul Dalai Karkhana;1
