Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Name of the village,HH00:Interview the HH (presence of HH members) ,HHma:Number of adult male ,HHfa:Number of adult  female ,HHmado:Number of Adloscent male ,HHfado:Number of Adloscent female ,HHmh5:Number of male children(>5yrs),HHfH5:Number of female children (>5yrs),HHml5:Number of male children(<=5yrs),HHfl5:Number of female children(<=5yrs),HHmsp:Number of male member who need assistance to access the latrine or defecate in the open ,HHfsp:Number of female member who need assistance to access the latrine or defecate in the open   ,HHsx:Sex of the interviewee,Economic status during data collection,HH01(old): Safe & Protected Main Drinking Water Source(old),HH01(new): Safe & Protected Main Drinking Water Source(new),HH02old: Drinking Water Management from Source to Cup(old),HH02new: Drinking Water Management from Source to Cup(new),HH03old: Quality of Latrine(old),HH03new: Quality of Latrine(new),HH03A:Shared latrine ,HH03B:Type of latrine ,HH3B:Type of Latrine(pls specify),HH04: Latrine use by whom,HH04A:Latrine use_All members,HH05:Latrine use when ,HH06:Hand washing provisions after defaecation ,HH07(dne):Sludge management(done),HH07(ftr):Sludge management(future),Image_water point ,Image (Latrine)
2502245313,24.756749,90.912339,Koilong,yes ,1,1,0,0,1,0,1,0,0,0,female,UP,C,D,C,D,C,C,A,A,,A,yes,B,D,B,,1410338390238.jpg,1410338443081.jpg
2509261612,23.166407,90.723103,Danuya East,yes ,1,1,0,0,1,0,1,1,0,0,female,UP,A,A,A,A,C,C,C,B,,B,No,A,C,F,C,1410158369273.jpg,1410157854208.jpg
2509261631,23.167677,90.725702,Danuya East,yes ,3,2,0,0,0,0,1,0,0,0,female,NP,A,A,A,A,B,A,A,A,,A,yes,A,C,F,C,1410317385245.jpg,1410317189596.jpg
2509261636,23.167825,90.725143,Danuya East,yes ,1,2,1,0,1,1,0,0,0,0,female,NP,A,A,D,C,B,E,A,A,,B,yes,A,C,C,,1410318370046.jpg,1410318436611.jpg
2509261613,23.165818,90.726642,Danuya East,yes ,1,1,1,0,0,1,0,0,0,0,female,UP,A,A,D,C,C,C,A,A,,B,yes,A,E,F,D,1410320097436.jpg,1410319937127.jpg
2509261632,23.161449,90.724847,Danuya East,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,A,A,A,A,D,E,B,A,,B,yes,A,E,C,,1410321200897.jpg,1410321459311.jpg
2509261615,23.166407,90.723103,Danuya East,yes ,1,2,2,1,0,1,0,0,0,0,female,UP,A,A,A,A,C,C,A,B,,B,yes,A,E,F,C,1410322245156.jpg,1410322317558.jpg
2502245335,24.756749,90.912339,Koilong,yes ,2,2,0,0,2,0,0,0,0,0,female,NP,C,D,C,D,C,E,A,A,,B,yes,B,D,C,,1410339310040.jpg,1410339348579.jpg
2502245314,24.756749,90.912339,Koilong,yes ,1,2,0,0,1,0,1,1,0,0,female,UP,A,A,A,A,E,F,,,,,,,,,,,
2523795422,22.817852,89.223867,Lawtara-1,yes ,2,2,0,0,0,0,0,0,0,0,female,UP,A,A,B,B,C,C,B,A,,B,yes,A,E,F,C,1410250774681.jpg,1410242405149.jpg
2509261625,23.156545,90.734008,Danuya East,yes ,2,1,0,1,0,1,0,0,0,0,female,PP,A,A,A,A,C,C,A,A,,B,yes,A,E,F,C,1410323786341.jpg,1410323814740.jpg
2523795411,22.817221,89.223024,Lawtara-1,yes ,1,1,0,0,0,1,0,0,0,0,female,PP,A,A,B,B,D,D,C,A,,B,yes,B,E,F,C,1410250828191.jpg,1410243801535.jpg
1446687035,23.418787,89.562611,Nikhorhata,yes ,1,1,0,0,0,1,0,1,0,0,female,PP,A,A,B,B,E,E,A,D,Pit Latrine,A,yes,A,E,C,,1410329922040.jpg,1410329885773.jpg
2523795412,22.817007,89.223043,Lawtara-1,yes ,1,2,0,0,1,1,0,0,0,0,female,UP,E,E,E,E,D,D,A,A,,B,yes,B,E,F,C,1410244898275.jpg,1410244946712.jpg
1411131223,22.375975,91.934486,East chowdhury,yes ,2,2,1,0,0,0,0,0,0,0,male,PP,A,A,B,B,B,A,A,A,,B,yes,A,D,D,,1410320195143.jpg,1410320208729.jpg
2523795433,22.816846,89.216353,Lawtara-1,yes ,2,3,0,0,0,1,1,0,0,0,male,NP,A,A,A,A,D,D,A,A,,A,yes,A,B,F,C,1410326575236.jpg,1410245860400.jpg
1433464814,24.874052,89.226051,Sardarpara,yes ,1,2,0,0,0,0,1,0,0,0,male,UP,C,D,D,D,D,D,A,B,,B,yes,A,C,F,C,1410328281679.jpg,1410328325973.jpg
1433464813,24.875978,89.18622,Sardarpara,yes ,1,2,0,0,1,0,0,0,0,0,female,UP,C,D,D,D,D,D,A,A,,B,No,A,C,C,,1410329305364.jpg,1410329356589.jpg
1433464811,24.882898,89.19287,Shardarpara,yes ,1,1,0,0,0,0,1,0,0,0,female,UP,B,B,B,C,D,D,B,A,,B,yes,A,C,C,,1410331618787.jpg,1410331647204.jpg
1433464815,24.875265,89.187261,Shardarpara,No HH selected ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433464816,24.875265,89.187261,Shardarpara,No HH selected ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509273923,23.141988,90.705872,Hasa west,yes ,1,2,0,0,0,0,0,0,0,0,female,PP,A,A,A,A,D,D,A,A,,B,yes,A,C,F,C,1410325299030.jpg,1410325355306.jpg
2523795423,22.816846,89.216353,Lawtara-1,yes ,1,1,0,0,1,1,0,0,0,0,female,UP,E,E,E,E,C,C,B,A,,B,yes,A,E,F,C,1410247500843.jpg,1410247541095.jpg
1411131236,22.361946,91.939698,East Chowdhury,yes ,3,4,0,0,0,1,1,0,0,0,female,NP,B,B,B,B,B,A,A,C,,B,No,A,C,F,D,1410321524623.jpg,1410321555188.jpg
2509273913,23.138205,90.697137,Hasa west,yes ,1,2,0,1,0,1,0,0,0,0,male,PP,A,A,A,A,C,C,C,C,,B,yes,A,D,F,C,1410327289965.jpg,1410327308101.jpg
2523795435,22.816846,89.216353,Lawtara-1,yes ,3,2,1,0,0,1,0,0,0,0,male,NP,A,A,A,A,B,A,A,A,,B,yes,A,D,C,,1410326683814.jpg,1410249212001.jpg
1411131226,22.375975,91.934486,East chowdhury,yes ,2,1,0,0,0,0,0,0,0,0,male,PP,A,A,B,B,C,C,A,A,,B,yes,A,D,C,,1410322961250.jpg,1410323025357.jpg
1411131234,22.375975,91.934486,East chowdhury,yes ,2,2,2,0,0,0,0,0,0,0,male,NP,B,B,B,B,D,D,A,A,,B,yes,A,C,D,,1410324692581.jpg,1410324812708.jpg
1411121333,22.407699,91.93603,Ahakubdandi uttar,yes ,5,3,0,0,0,1,0,0,0,0,female,NP,A,A,B,B,B,A,A,A,,A,yes,A,B,D,,1410332616960.jpg,1410332628371.jpg
1411121332,22.389414,91.937929,Ahakubdandi uttar,yes ,3,3,0,0,1,0,0,1,0,0,male,NP,A,A,A,A,A,A,A,A,,A,yes,A,A,F,D,1410335847876.jpg,1410335206511.jpg
2523795432,22.816846,89.216353,Lawtara-1,yes ,1,2,0,0,1,0,0,1,0,0,female,PP,A,A,B,B,C,C,B,A,,B,No,A,E,C,,1410326749501.jpg,1410249859498.jpg
1411121331,22.389414,91.937929,Ahakubdandi uttar,yes ,1,1,0,2,1,0,0,0,0,0,male,NP,B,B,B,B,B,E,A,A,,A,yes,A,D,D,,1410330990824.jpg,1410331010417.jpg
1430414316,23.102917,89.106135,Pairadanga,yes ,2,2,0,0,1,0,0,1,0,0,female,UP,D,D,C,D,A,B,A,B,,A,yes,A,D,F,C,1410170094638.jpg,1410170147719.jpg
1411121323,22.389433,91.937855,Ahakubdandi uttar,yes ,2,1,0,1,0,0,0,0,0,0,male,NP,C,D,C,D,B,A,A,C,,B,yes,A,C,F,C,1410330887839.jpg,1410330917154.jpg
2523795434,22.817006,89.216806,Lawtara-1,yes ,2,2,0,0,0,0,0,0,0,0,male,NP,E,E,E,E,E,E,A,A,,B,yes,A,E,C,,1410320973421.jpg,1410321016063.jpg
1430414336,23.09268,89.099035,Pairadanga,yes ,1,1,0,1,0,1,0,0,0,0,female,NP,A,A,A,A,B,A,A,A,,B,yes,A,B,F,C,1410173499347.jpg,1410173534083.jpg
2523795426,22.817006,89.216806,Lawtara-1,yes ,1,1,0,1,0,1,1,0,0,0,female,PP,A,A,B,B,B,B,B,A,,B,No,A,D,C,,1410326815310.jpg,1410322183048.jpg
2523795436,22.817006,89.216806,Lawtara-1,yes ,1,1,0,0,0,0,1,0,0,0,female,UP,A,A,B,B,D,D,A,A,,B,No,A,E,F,C,1410326860188.jpg,1410322965641.jpg
2523795425,22.817006,89.216806,Lawtara-1,yes ,1,1,2,0,1,0,0,0,0,0,male,PP,E,E,E,E,B,B,A,A,,B,yes,A,E,F,B,1410324200744.jpg,1410324148977.jpg
1402030313,26.226746,88.461968,maligian,yes ,1,2,0,0,1,0,0,1,0,0,female,UP,D,E,E,E,A,B,A,B,,C,yes,B,D,F,A,1410344986805.jpg,1410345034019.jpg
1411121325,22.389433,91.937855,Ahakubdandi uttar,yes ,1,2,0,0,0,0,1,0,0,0,female,PP,B,B,A,A,B,A,A,A,,B,No,A,C,C,,1410333687503.jpg,1410333698483.jpg
1402030311,26.22727,88.461508,maligoan,yes ,1,1,0,0,0,1,0,1,0,0,female,UP,E,E,E,E,A,A,B,B,,B,yes,C,D,F,A,1410345959950.jpg,1410345973434.jpg
1415191933,23.248242,91.263379,petkora+noapara,yes ,0,1,2,0,0,1,0,0,0,0,female,NP,D,D,C,D,B,A,A,A,,A,yes,A,D,F,D,1410346836100.jpg,1410346875717.jpg
1402030325,26.227492,88.464038,mLigaon,yes ,1,1,0,0,0,1,0,0,0,0,female,PP,E,E,E,E,C,C,B,A,,A,yes,B,C,C,,1410346963848.jpg,1410346984162.jpg
1433464832,24.875978,89.18622,Sardarpara,yes ,1,2,1,1,0,0,0,0,0,0,male,NP,A,A,C,C,A,A,C,B,,B,yes,A,B,F,C,1410329237517.jpg,1410329419212.jpg
1433464836,24.87557,89.210381,Shardarpara,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,C,D,C,D,C,C,C,B,,B,yes,A,B,F,C,1410331444036.jpg,1410331563626.jpg
1433464831,24.875978,89.18622,Shardarpara,yes ,1,1,0,0,0,1,0,0,0,0,female,NP,C,D,C,D,B,E,C,A,,B,yes,A,B,F,C,1410333448182.jpg,1410333495354.jpg
1433464835,24.875265,89.187261,Shardarpara,yes ,1,1,0,0,0,1,0,0,0,0,male,NP,B,B,A,A,C,A,A,B,,A,yes,A,B,F,C,1410335372202.jpg,1410335393999.jpg
1433464833,24.864718,89.185474,Shardarpara,yes ,1,1,0,0,0,1,0,0,0,0,male,NP,A,A,A,A,B,A,A,A,,A,yes,A,B,F,C,1410336687095.jpg,1410336717596.jpg
1433464834,24.875265,89.187261,Shardarpara,yes ,1,1,0,0,0,1,0,0,0,0,male,NP,B,B,A,A,B,A,A,A,,A,yes,A,B,F,C,1410338011070.jpg,1410338041400.jpg
1402030324,26.224962,88.468427,maligaon,yes ,1,1,0,0,0,2,0,0,0,0,female,PP,A,B,A,A,A,A,A,B,,A,yes,B,C,F,A,1410348001589.jpg,1410348024543.jpg
1415212126,23.247637,91.291232,kathalia,"No,moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415191914,23.247637,91.291232,petikora+noapara,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415191934,23.247637,91.291232,petikora+noapara,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402030314,26.229239,88.46204,maligoan,yes ,2,1,0,0,0,0,0,0,0,0,female,UP,E,E,E,E,A,A,A,B,,A,yes,B,C,F,A,1410348959442.jpg,1410348978330.jpg
1420293014,23.569104,89.90138,Godhadhordangi,yes ,2,1,1,0,0,0,1,0,0,0,female,UP,D,D,C,D,D,D,A,A,,A,yes,B,E,C,,1410318378705.jpg,1410318429373.jpg
1420293015,23.569104,89.90138,Godhadhordangi,yes ,1,1,0,1,1,0,0,0,0,0,female,UP,D,D,C,D,A,A,B,B,,B,yes,B,C,F,C,1410320918354.jpg,1410320950454.jpg
1420293035,23.573978,89.892281,Godhadhordangi,yes ,1,1,0,0,1,0,0,1,0,0,female,NP,A,A,A,A,A,A,A,B,,A,yes,B,A,F,C,1410322878062.jpg,1410322930053.jpg
1420293026,23.573978,89.892281,Godhadhordangi,yes ,1,1,1,0,1,0,0,0,0,0,female,PP,D,D,C,D,C,E,A,A,,B,yes,B,E,F,C,1410324367989.jpg,1410324424352.jpg
1420293036,23.590409,89.895923,Godhadhordangi,yes ,1,1,1,1,1,0,0,0,0,0,male,NP,D,D,C,D,C,C,A,B,,B,yes,B,D,C,,1410327516769.jpg,1410327536900.jpg
1420293016,23.590409,89.895923,Godhadhordangi,yes ,3,1,0,0,0,0,0,0,0,0,female,UP,D,D,C,D,D,D,B,A,,B,yes,B,E,C,,1410328623223.jpg,1410328662528.jpg
2516155724,22.218548,89.252504,matiavanga- 1,yes ,1,2,1,0,1,0,0,0,0,0,female,PP,A,A,A,A,C,C,A,A,,B,yes,A,D,D,,1410366487984.jpg,1410330073881.jpg
2505117532,24.819448,91.798618,Purbo Sirajpur,yes ,3,2,2,0,0,3,0,0,0,0,male,NP,A,A,A,A,B,A,A,C,,B,yes,A,B,F,C,1410330102174.jpg,1410330113613.jpg
1402030336,26.23519,88.422538,maligoan,yes ,3,4,0,0,1,0,0,0,0,0,female,NP,B,C,B,B,B,B,A,A,,A,yes,A,D,F,C,1410389975934.jpg,1410390011798.jpg
2505117526,24.819448,91.798618,PurbSirajpur,yes ,1,2,0,0,0,0,0,2,0,0,female,PP,B,B,A,A,C,E,A,A,,B,No,A,D,D,,1410333035378.jpg,1410333044535.jpg
2505117521,24.819448,91.798618,PurboSirajpur,yes ,1,1,1,1,0,0,0,0,0,0,male,PP,B,B,A,A,B,A,C,C,,B,yes,A,A,C,,1410334639743.jpg,1410334648766.jpg
1446687026,23.391853,89.554342,Nikhorhata,yes ,1,1,1,1,0,1,0,0,0,0,female,PP,B,B,B,B,D,D,A,A,,B,yes,B,C,C,,1410405655117.jpg,1410405534474.jpg
1568980026,24.620748,90.441157,Dogulia-2,yes ,1,2,0,0,0,1,0,1,0,0,female,PP,A,A,D,C,C,C,A,A,,B,No,B,D,C,,1410346658296.jpg,1410346481129.jpg
1447717312,22.945463,89.234245,Muggunni,yes ,2,2,0,1,0,0,0,0,0,0,female,UP,A,A,B,B,B,B,A,A,,B,yes,A,B,C,,1410406255796.jpg,1410406289822.jpg
2502086011,24.799999,90.86423,Mobarokpur,yes ,1,1,1,0,2,1,0,0,0,0,female,UP,A,A,D,C,C,C,B,A,,B,No,B,B,C,,1410406818145.jpg,1410406850289.jpg
1568980012,24.662882,90.451487,Dogulia-2,yes ,5,5,1,0,0,0,1,0,0,0,male,UP,A,A,D,C,C,C,A,A,,B,No,B,E,C,,1410345955289.jpg,1410345922817.jpg
1447717311,22.945463,89.234245,Muggunni,yes ,2,1,1,0,0,0,0,0,0,0,female,UP,A,A,B,B,B,B,A,A,,B,yes,A,B,F,C,1410407243703.jpg,1410407265582.jpg
2502086031,24.799999,90.86423,Mobarakpur,yes ,1,1,0,0,1,0,1,0,0,0,female,NP,A,A,A,A,C,E,C,A,,A,yes,B,C,C,,1410406767563.jpg,1410406875923.jpg
1446687021,23.391741,89.529096,Nikhorhata,yes ,0,1,0,1,0,1,0,0,0,0,female,UP,C,D,C,D,B,A,A,A,,B,yes,B,C,F,B,1410407054808.jpg,1410407095346.jpg
1568980025,24.619855,90.440836,Dogulia-2,yes ,1,1,1,0,2,0,0,0,0,0,female,PP,A,A,D,C,D,D,A,A,,B,yes,B,E,C,,1410344856803.jpg,1410344893404.jpg
2502086012,24.791217,90.837545,Mobarokpur,yes ,2,1,1,0,0,0,0,0,0,0,female,PP,C,D,C,D,B,B,A,A,,B,yes,B,B,F,B,1410408543685.jpg,1410408572955.jpg
1447717313,22.945463,89.234245,Muggunni,yes ,2,2,0,1,0,0,0,0,0,0,female,UP,A,A,A,A,B,B,A,A,,B,yes,A,C,C,,1410408425539.jpg,1410408464469.jpg
1568980031,24.620748,90.441157,Dogulia-2,yes ,1,2,2,0,0,0,0,0,0,0,female,PP,A,A,B,B,D,D,A,A,,B,yes,B,D,C,,1410342501574.jpg,1410342560319.jpg
1568980032,24.619855,90.440836,Dogulia-2,yes ,2,2,0,0,0,0,0,1,0,0,male,NP,D,D,C,D,D,D,A,A,,B,No,B,D,C,,1410341477944.jpg,1410341524426.jpg
1447717323,22.945463,89.234245,Muggunni,yes ,1,1,0,1,0,0,0,0,0,0,female,PP,A,A,A,A,B,B,A,A,,B,yes,A,B,C,,1410409735009.jpg,1410409771994.jpg
1568980036,24.619855,90.440836,Dogulia-2,yes ,1,1,0,0,1,0,0,0,0,0,male,PP,D,D,C,D,D,D,A,A,,B,yes,B,E,C,,1410340583489.jpg,1410340644885.jpg
1446687023,23.395768,89.551546,Nikhorhata,yes ,1,1,0,0,0,1,1,0,0,0,female,PP,D,D,C,D,B,B,A,A,,A,yes,B,D,F,B,1410409100212.jpg,1410409149128.jpg
2502086032,24.799999,90.86423,Mobarakpur,yes ,2,3,1,0,0,0,0,1,0,0,female,NP,A,A,D,C,B,A,A,A,,A,yes,B,C,C,,1410409669392.jpg,1410409737884.jpg
1568980023,24.662686,90.451321,Dogulia-2,yes ,1,1,0,0,1,0,1,0,0,0,female,PP,A,A,D,C,C,C,C,A,,D,No,B,D,D,,1410236033558.jpg,1410236047836.jpg
1447717321,22.945463,89.234245,Muggunni,yes ,1,1,1,0,0,0,0,0,0,0,female,PP,A,A,A,A,B,B,A,A,,B,yes,A,C,C,,1410410595083.jpg,1410410650862.jpg
1568980024,24.643144,90.459061,Dogulia-2,yes ,2,1,0,0,0,0,0,0,0,0,male,PP,B,B,D,C,C,E,A,A,,D,No,E,D,,,1410240290507.jpg,1410240303983.jpg
1568980034,24.662686,90.451321,Dogulia-2,yes ,2,2,1,0,0,1,0,1,0,0,female,NP,B,B,D,C,D,E,A,A,,D,No,C,E,D,,1410241094518.jpg,1410241157541.jpg
2502086013,24.799999,90.86423,Mobarokpur,yes ,1,1,0,0,0,0,1,0,0,0,female,UP,A,A,A,A,A,A,A,B,,A,yes,B,B,F,C,1410410995077.jpg,1410411077408.jpg
2502086033,24.799999,90.86423,Mobarakpur,yes ,2,3,1,0,1,1,1,1,0,0,female,NP,D,D,C,D,B,B,A,A,,A,yes,B,C,C,,1410411998838.jpg,1410412056724.jpg
2502086014,24.799999,90.86423,Mobarokpur,yes ,1,2,0,0,0,1,0,0,0,0,female,UP,A,A,A,A,C,C,A,A,,A,yes,B,B,F,B,1410413228253.jpg,1410413308528.jpg
2509261634,23.163093,90.728627,Danuya East,yes ,1,1,0,0,2,0,0,1,0,0,male,NP,D,D,D,D,C,E,B,A,,B,No,A,E,D,,1410325422988.jpg,1410325461597.jpg
2509261621,23.157258,90.731182,Danuya East,yes ,3,3,0,0,1,0,0,0,0,0,female,PP,A,A,D,C,D,D,A,A,,B,yes,A,E,F,C,1410327295057.jpg,1410327141075.jpg
2509261614,23.166407,90.723103,Danuya East,yes ,1,2,1,0,0,0,0,0,0,0,female,UP,A,A,A,A,C,C,A,B,,B,yes,A,E,F,C,1410329648810.jpg,1410329489372.jpg
1446687015,23.392871,89.551471,Nikhorhata,yes ,1,1,2,0,0,0,0,0,0,1,male,UP,A,A,B,B,B,B,A,A,,A,yes,B,B,C,,1410412179172.jpg,1410412231187.jpg
2502086023,24.799999,90.86423,Mobarakpur,yes ,0,2,1,1,0,0,0,0,0,0,female,PP,C,D,C,D,B,A,A,A,,B,yes,B,C,C,,1410414815824.jpg,1410414899133.jpg
1436515321,24.24171,90.53519,Bitipara,yes ,1,2,0,0,0,0,1,0,0,0,female,PP,D,D,C,D,C,C,A,A,,A,yes,A,E,F,D,1410415048660.jpg,1410415070376.jpg
1436515331,24.246638,90.541408,Bitipara,yes ,2,1,0,0,0,0,0,0,0,0,female,NP,A,A,D,C,C,C,C,C,,B,yes,A,B,F,D,1410416296134.jpg,1410416316038.jpg
2502086015,24.799999,90.86423,Mobarokpur,yes ,2,2,1,0,0,0,1,0,0,0,female,PP,A,A,A,A,B,B,A,A,,A,yes,B,B,F,B,1410416869743.jpg,1410416944530.jpg
2502086016,24.799999,90.86423,Mobarokpur,"No,moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446687024,23.391741,89.529096,Nikhorhata,yes ,1,2,0,1,1,0,0,0,1,0,female,PP,B,B,B,B,B,B,A,A,,A,yes,B,C,C,,1410417589652.jpg,1410417491880.jpg
2502086024,24.799999,90.86423,Mobarakpur,yes ,1,1,0,0,0,0,0,0,0,0,female,UP,C,D,C,D,C,C,A,B,,B,yes,B,C,F,C,1410417580888.jpg,1410417765342.jpg
2502086025,24.799999,90.86423,Mobarak,yes ,1,1,0,0,1,1,0,2,0,0,female,UP,A,A,A,A,B,B,B,A,,A,yes,B,C,A,,1410420773264.jpg,1410420915337.jpg
2509677721,23.130682,90.755315,West Rupsa,yes ,2,1,0,0,1,0,1,0,0,0,male,PP,A,A,A,A,D,D,B,A,,B,No,A,E,F,C,1410408560488.jpg,1410407520316.jpg
2509677712,23.133007,90.775513,West Rupsha,yes ,2,1,0,0,0,0,0,0,0,0,female,UP,A,A,A,A,D,D,B,A,,B,yes,A,E,F,C,1410408586432.jpg,1410408113405.jpg
2509677715,23.136171,90.795136,West Rupsa,yes ,1,1,0,1,1,0,0,0,0,0,female,NP,A,A,D,C,D,E,A,A,,B,yes,A,E,F,C,1410410574189.jpg,1410410623507.jpg
2509677732,23.129235,90.775912,West Rupsa,yes ,2,1,2,0,0,0,0,1,0,0,female,NP,A,A,A,A,D,E,A,A,,B,No,A,E,F,C,1410412023688.jpg,1410412054989.jpg
1436515332,24.239185,90.557917,Bitipara,yes ,2,1,0,0,0,0,1,1,0,0,female,NP,C,D,C,D,C,C,A,A,,B,No,A,E,C,,1410418459213.jpg,1410418472958.jpg
1416232312,21.568276,92.070376,West gojalia,yes ,1,2,0,2,0,1,0,0,0,0,female,UP,A,A,A,A,A,A,A,B,,B,yes,A,B,C,,1410408194268.jpg,1410408227038.jpg
1446687033,23.39195,89.549338,Nikhorhata,yes ,1,1,0,0,0,0,0,0,0,0,male,NP,B,B,D,C,B,A,A,A,,B,yes,B,A,F,C,1410414279815.jpg,1410414419529.jpg
1433454715,24.759249,89.240797,D jamgram,yes ,2,2,0,0,1,0,0,0,0,0,male,UP,B,B,D,C,B,A,A,A,,B,yes,A,C,C,,1410415518007.jpg,1410415544509.jpg
1433454716,24.759249,89.240797,D jamgram,yes ,1,1,1,0,1,0,0,0,0,0,female,UP,B,B,B,B,C,C,C,B,,A,yes,A,C,C,,1410416538706.jpg,1410416558566.jpg
1433454711,24.759249,89.240797,D jamgram,yes ,1,2,0,0,1,0,0,0,0,0,female,UP,B,B,B,B,A,A,A,B,,B,yes,A,C,F,C,1410417411970.jpg,1410417434563.jpg
1433454714,24.759249,89.240797,D jamgram,yes ,1,1,0,2,0,1,0,1,0,0,female,UP,D,D,C,D,A,B,A,B,,A,yes,A,C,F,C,1410418034426.jpg,1410418053572.jpg
1433454712,24.759249,89.240797,D jamgram,yes ,2,2,0,0,0,0,1,0,0,0,female,UP,A,A,D,C,C,C,C,B,,B,No,B,B,F,C,1410420529295.jpg,1410420560355.jpg
1433454713,24.752388,89.240901,D jamgram,yes ,1,1,1,1,1,0,0,0,0,0,male,UP,D,D,D,D,C,E,B,B,,B,yes,E,D,D,,1410421520852.jpg,1410421543489.jpg
1430424421,22.923052,89.009745,Bacora,yes ,1,1,1,0,0,0,0,0,0,0,female,PP,A,A,B,B,B,A,A,A,,B,yes,A,B,F,C,1410321064231.jpg,1410321109471.jpg
2509273935,23.138205,90.697137,Hasa west,yes ,3,3,0,0,0,0,1,2,0,0,male,NP,A,A,A,A,B,A,A,A,,A,yes,A,B,F,C,1410410817263.jpg,1410410880451.jpg
1430424431,22.923052,89.009745,Bacora,yes ,1,1,1,0,0,0,0,0,0,0,female,NP,A,A,A,A,B,A,A,A,,B,yes,A,B,F,C,1410321928093.jpg,1410321875862.jpg
2509273911,23.138205,90.697137,Hasa west,yes ,2,1,1,1,2,0,0,0,0,0,female,UP,A,A,A,A,D,D,A,A,,B,yes,A,D,C,,1410407601663.jpg,1410407645240.jpg
1446687011,23.391741,89.529096,Nikhorhata,yes ,1,1,0,2,1,0,0,1,0,0,female,UP,B,B,B,B,B,B,A,A,,A,yes,B,C,A,,1410419072816.jpg,1410419149189.jpg
1446687025,23.391741,89.529096,Nikhorhata,yes ,2,1,0,1,0,0,0,0,0,0,male,PP,A,A,A,A,C,C,B,A,,B,yes,B,D,D,,1410421559258.jpg,1410421587845.jpg
2509273936,23.138205,90.697137,Hasa west,yes ,1,1,1,3,0,0,0,0,0,0,female,NP,A,A,A,A,B,A,A,A,,B,yes,A,C,F,C,1410409329788.jpg,1410409183162.jpg
1446687036,23.393092,89.543396,Nikhorhata,yes ,4,3,0,0,1,0,0,1,0,0,male,NP,B,B,A,A,C,C,A,A,,A,yes,B,C,F,C,1410424357118.jpg,1410424243646.jpg
2511224712,24.998242,91.978958,Kamait,yes ,1,1,2,1,0,0,0,0,0,0,female,UP,B,B,B,C,E,F,,,,,,,,,,,
2506356115,25.010928,91.66175,"l
modup pur",yes ,1,1,0,0,1,0,1,0,0,0,female,UP,A,A,D,C,D,E,C,A,,B,No,B,E,F,C,1410414089880.jpg,1410414187236.jpg
2506356132,25.010928,91.66175,modup pur,yes ,1,2,0,0,0,0,0,0,0,0,female,PP,A,A,A,D,D,E,A,A,,B,yes,A,E,D,,1410415200595.jpg,1410415137087.jpg
2511224721,25.022874,92.06787,Kamait,yes ,1,1,2,1,0,0,0,0,0,0,female,PP,B,B,C,C,B,B,B,C,,B,yes,A,D,F,D,1410409788594.jpg,1410409802765.jpg
2506356116,25.010928,91.66175,modup pur,yes ,1,1,0,0,1,1,1,1,0,0,female,UP,C,D,C,D,A,A,A,B,,C,No,A,B,D,,1410416571210.jpg,1410416620182.jpg
2506356134,24.999281,91.663083,modup pur,yes ,3,3,1,1,0,0,0,0,0,0,female,NP,B,B,B,B,D,E,A,A,,B,yes,A,D,D,,1410417309757.jpg,1410417346094.jpg
2506356112,25.010928,91.66175,mobuppur,yes ,1,1,0,1,2,0,1,0,0,0,female,UP,D,D,D,D,C,C,A,A,,B,No,A,E,F,C,1410418716554.jpg,1410418824334.jpg
2506356121,25.006125,91.662537,modup pur,yes ,1,2,0,0,0,1,2,0,0,0,female,PP,D,D,D,D,C,E,A,A,,B,No,A,E,D,,1410419229861.jpg,1410419306779.jpg
2506356126,25.006125,91.662537,modup pur,yes ,1,1,0,1,1,1,0,1,,0,female,PP,D,D,D,D,E,F,,,,,,,,,,,
2511224713,25.022874,92.06787,Kamait,yes ,1,3,0,1,1,0,1,0,0,0,male,UP,C,D,D,D,D,D,B,B,,B,No,A,E,F,C,1410408680577.jpg,1410408465181.jpg
1416232323,21.568276,92.070376,West gojalia,yes ,1,1,0,1,1,1,0,1,0,0,female,PP,A,A,A,A,B,A,A,A,,A,yes,A,B,F,C,1410408926337.jpg,1410409014891.jpg
1416232313,21.568276,92.070376,West gojalia,yes ,1,1,0,1,0,0,0,0,0,0,female,UP,A,A,A,A,B,A,A,A,,B,yes,A,B,C,,1410409978795.jpg,1410409877305.jpg
1416232314,21.568276,92.070376,West gojalia,yes ,1,1,1,0,0,0,0,0,0,0,female,UP,A,A,A,A,B,A,A,A,,B,yes,A,B,C,,1410410823509.jpg,1410410794152.jpg
