Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Year of VWC establishment ,Year village social map was made,Total number of male members at start ,Total number of female members at start ,Total number of male members now ,Total number of female members now ,Is the area arsenic prone ,Total number of Ultra Poor HH ,Total number of poor HH,Total number of non poor HH ,Number of TW platform loan received from BRAC ,Number of DTW received from BRAC ,Number of PSF received from BRAC ,Number of other source  received from BRAC ,Please specify the other source,Number of TW platform loan received from other organisation ,Number of DTW received from other organisation ,Number of PSF received from other organisation ,Number of other source received from other organisation ,Text,VWC01sa: Drinking water source received from BRAC(source A),VWC01sb:Drinking water source received from BRAC(source B),VWC01sc:Drinking water source received from BRAC(source C),VWC02: Performance of VWC ,VWC03_men:Women's participation(men),VWC03_women:Women's participation(women),VWC03_agreed:Women's participation(agreed) 
14243435,24.574892,89.884817,2007,2007,5,6,5,6,no,19,169,53,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
14477072,23.066076,89.183995,2007,2007,5,6,5,6,yes,11,89,100,1,1,0,0,Na,0,0,0,0,Na,A,F,F,A,A,A,A
14151919,23.271659,91.215129,2008,2008,5,6,5,6,no,20,58,119,0,0,0,0,o,0,0,0,0,o,F,F,F,C,B,C,B
25092616,23.166125,90.728148,2012,2012,5,6,5,6,no,50,21,196,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,C,C
14344850,24.00623,90.560757,2008,2008,5,6,5,6,no,28,48,90,1,0,0,0,N/A,0,0,0,0,N/A,D,F,F,C,C,C,C
25116899,25.167542,91.879075,2012,2012,5,6,5,6,no,53,80,138,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,C,C,C
14152121,23.315627,91.211551,2008,2008,5,6,5,6,no,16,21,108,1,0,0,0,o,0,0,0,0,o,B,F,F,C,C,C,C
25161570,22.382538,89.280765,2012,2012,5,6,5,6,no,145,10,5,0,0,0,0,na,0,7,0,0,na,F,F,F,B,A,A,A
25022453,24.756749,90.912339,2012,2012,5,6,5,6,no,20,31,57,0,0,0,0,No,0,0,0,0,No,F,F,F,B,C,C,C
14030404,23.698596,89.532038,2008,2008,5,6,5,6,no,18,100,54,1,0,0,0,NA,0,0,0,0,NA,D,F,F,C,C,C,C
25027833,24.764366,90.856069,2012,2012,5,6,5,6,no,39,56,97,0,0,0,0,No,0,0,0,0,No,F,F,F,B,A,A,A
14202930,23.573986,89.892265,2007,2007,5,6,5,6,no,41,90,76,2,1,0,0,NA,0,0,0,0,NA,E,E,F,C,C,C,C
15689800,24.614931,90.396693,2006,2006,5,6,5,6,no,33,72,110,1,0,0,0,o,0,0,0,0,o,A,F,F,B,C,C,C
14507577,24.718451,89.184035,2007,2007,5,6,5,6,no,84,74,130,1,0,0,0,NA,0,0,0,0,NA,B,F,F,C,A,A,A
14162323,21.568277,92.070376,2007,2007,5,6,5,6,no,30,86,144,1,0,0,0,N/A,0,0,0,0,N/A,E,F,F,C,A,A,A
14111312,22.375975,91.934486,2007,2007,5,6,5,6,no,9,91,102,0,0,0,0,No,0,0,0,0,No,F,F,F,B,A,A,A
25092739,23.141988,90.705872,2012,2012,5,6,5,6,no,22,42,214,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,C,C
25112247,25.008543,92.021,2012,2012,5,6,5,6,no,87,36,129,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,C,C,C
14477173,23.024821,89.217325,2007,2007,5,6,5,6,yes,26,133,138,1,1,0,0,Na,0,0,0,0,Na,A,F,F,B,A,A,A
14040505,23.648854,90.539331,2008,2008,5,6,5,6,no,8,87,98,0,0,0,0,NA,0,0,0,0,NA,F,F,F,C,C,C,C
25054323,24.926852,91.692965,2012,2012,5,6,5,6,no,35,52,126,0,0,0,0,,0,0,0,0,,F,F,F,B,A,A,A
25233940,22.771312,89.253085,2012,2012,5,6,5,6,yes,113,45,51,0,0,0,0,O,0,1,0,0,O,F,F,F,B,A,A,A
25237954,22.771312,89.253085,2012,2012,5,6,5,6,yes,107,55,99,0,0,0,0,O,0,6,0,0,O,F,F,F,B,A,A,A
25022429,24.799999,90.86423,2012,2012,5,6,5,6,no,47,86,121,0,0,0,0,No,0,0,0,0,No,F,F,F,B,A,A,A
25020860,24.813688,90.846938,2012,2012,5,6,5,6,no,65,71,108,0,0,0,0,No,0,0,0,0,No,F,F,F,A,A,A,A
25096777,23.129235,90.775912,2012,2012,5,6,5,6,no,38,89,164,0,1,0,0,0,0,0,0,0,0,A,F,F,B,B,B,B
14111213,22.407699,91.93603,2007,2007,5,6,5,6,no,6,67,175,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,A,A,A
25115045,25.093214,91.96783,2012,2012,5,6,5,6,no,27,122,3,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,D,D,D
14466870,23.393023,89.551936,2008,2008,5,6,5,6,no,24,40,98,1,0,0,0,No,0,0,0,0,No,E,F,F,B,A,A,A
14334648,24.875978,89.18622,2006,2006,5,6,5,6,no,4,39,63,1,0,0,0,0,0,0,0,0,0,A,F,F,A,A,A,A
14152020,23.150603,91.324538,2008,2008,5,6,5,6,no,12,51,98,0,0,0,0,o,0,0,0,0,o,F,F,F,C,C,C,C
25161557,22.218548,89.252504,2012,2012,5,6,5,6,no,81,122,37,0,0,0,0,na,0,2,0,1,pipe water suply,F,F,F,B,A,A,A
25051175,24.819448,91.798618,2012,2012,5,6,5,6,no,16,43,38,0,0,0,0,NA,0,0,0,0,NA,F,F,F,C,C,C,C
14365153,24.244206,90.553465,2008,2008,5,6,5,6,no,0,55,98,1,1,0,0,N/A,0,0,0,0,N/A,B,D,F,B,A,A,A
14304244,22.969087,89.081061,2007,2007,5,6,5,6,no,21,93,86,1,0,0,0,N/A,0,3,0,0,N/A,A,F,F,B,A,A,A
