Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Furthest distance from RSC to households of the union,"Travel time (to and from) from RSC to ultra poor households of the union ","Support received from the BRAC WASH Programme ","RSC01:Performance of RSC ","Comment (if any) "
201604230,22.415143,89.324827,5,2,B,B,Information of Interviewee
201615232,22.419283,89.310508,0,0,B,E,Information of wash office
201615233,22.354316,89.285495,0,0,B,E,Information of wash office
104668264,23.331459,89.577249,10,3,C,B,No
104669265,23.331356,89.577301,10,3,B,B,No
104771267,23.008327,89.234583,4,1.5,C,E,Information collected from the owner
103143175,25.105728,89.040621,5,1,C,D,N/A
102029126,23.581205,89.794127,12,2,C,C,NA
105986304,24.72843,89.440903,5,1,C,B,NA
100101009,24.820662,88.990325,12,3,C,A,No
106797325,23.643285,90.591152,6,2,C,B,N/A
201604229,22.407957,89.258066,5,3,C,B,Information of Interviewee
105179280,23.142039,91.210591,1,1,C,C,o
105179279,23.145659,91.22458,3,1,B,C,o
105179281,23.145855,91.227088,3,1,C,C,o
105179278,23.145855,91.227088,7,1,B,C,o
105176282,23.169426,91.192235,5,3,B,C,n/a
105176283,23.169426,91.192235,4,2,B,D,ownership change
104567263,24.578313,90.087352,5,2,C,D,N/A
200967120,23.116586,90.786971,3,2,B,D,0
200967119,23.129235,90.775912,5,2,C,A,0
100809049,23.1767,90.468689,6,2,C,C,no
100809050,23.176635,90.46896,3,1.3,B,E,no bignes
100102008,24.747844,89.11253,0,0,A,E,RSC was before but present is not.
104770266,22.901625,89.220436,5,2,C,E,Information collected from the owner
103853204,22.901625,89.220436,5,1.3,C,C,Information collected from the owner
106391309,23.84514,89.826421,6,2,B,D,N/A
106391310,23.844358,89.823322,6,2,C,E,He went  to other upazila
200975125,23.194759,90.818976,4,2,C,A,O
101417067,23.16943,91.192238,3,2,B,E,RSC is closed .Now he is a business man.
102636162,25.100516,90.338168,0,0,A,E,Rsc business change
101214064,23.490436,89.633173,10,4,C,C,NA
101011053,25.923177,88.642421,7,1,B,C,no coments
201615231,22.354652,89.285638,4,2,A,B,Information of Interviewee
104567261,24.618739,90.035918,7,2,C,D,N/A
102636161,25.100516,90.338168,5,3,C,B,N/a
200975121,23.19536,90.853721,3,2,B,B,O
201023129,22.654952,91.790362,6,3,C,A,Vanir&small Sinbord use for Advategment
102636163,25.100516,90.338168,5,2,C,B,N/A
200278026,24.764323,90.85611,0,0,B,E,Information collect for ownership
200278024,24.791309,90.837878,0,0,B,E,Information collect for ownership
200166012,24.965836,89.030834,5,1,D,E,Stop Business
201010128,22.654982,91.79037,6,3,C,B,No
202234327,24.938142,91.423625,14,4,C,B,na
200166013,24.965836,89.030834,5,2,A,D,N/A
200955115,23.140716,90.787565,5,2.3,C,B,0
200955116,23.181259,90.759794,4,2,B,D,0
103752200,24.679538,90.774907,0,0,C,E,Information collect for ownership
103752201,24.679538,90.774907,0,0,B,E,Information collect for ownership
104363253,22.019735,92.10065,5,4,C,B,N/A
200173015,24.90973,89.003073,4,1,D,E,Move
101724102,24.680312,89.530984,0,0,C,E,Information from office
102636164,25.100516,90.338168,0,0,B,E,He change business
200807094,22.533106,89.566892,16,2.5,C,A,na
200807095,22.526614,89.566678,17,2.5,C,A,name change of RSC
202054287,22.587846,89.314812,4,2,C,C,Information of Interviewee
202054286,22.592191,89.315474,4,2,B,C,Information of Interviewee
201214169,25.003277,92.258388,12,8,C,C,No
201214170,25.003277,92.258388,9,6,B,D,No
102940168,24.707119,91.53129,13,6,C,C,na
201045130,22.654982,91.79037,5,2,C,B,N/A
103752203,24.651766,90.745553,0,0,B,E,Information collect for ownership
103752202,24.651766,90.745553,0,0,B,E,Information  collect  from  ownership
200162011,24.926118,89.085519,6,1,D,E,Move
210162010,24.926118,89.085519,6,1,D,E,Stop business
103550181,23.294504,89.153772,6,2,C,D,No
200956117,23.157584,90.728108,4,2,B,D,O
200208019,24.799673,90.864532,8,4,B,C,Information collect form ownership
200278023,24.764833,90.86272,11,4,B,C,Information  collect  from  ownership's  son
105784302,23.415708,89.785538,10,3,C,C,NA
202464340,24.54696,90.86596,5,3,C,C,N/A
104364254,22.00674,92.053886,4,3,C,D,N/A
202417335,24.54696,90.86596,2,1,B,C,N/A
202417336,24.54696,90.86596,3,1,C,C,N/A
201847247,25.957078,89.452001,8,2,C,B,0
202012284,22.550462,89.240725,5,2,C,C,Information of Interviewee
202012285,22.53174,89.252815,6,3,B,B,Information  of Interviewee
211074132,22.906837,91.676535,10,4,C,C,N/A
201069131,22.906837,91.676535,0,0,C,E,No RSC centre
201953259,23.338446,90.702856,6,3,B,D,"When he gets oder  he product goods ,otherwise  he does not product."
201953258,23.329484,90.688391,4,2,B,C,N/A
201953260,23.329484,90.688391,7,3,C,C,N/A
105481293,25.66345,88.918051,10,2,D,E,Change business
103854206,23.882754,89.35207,5,1,C,C,O
102332141,23.004783,89.840578,5,2,C,C,no
200173016,24.965836,89.030834,5,1,D,D,N/A
200173014,25.033556,89.129622,2,1,C,C,N/A
202072288,22.580285,89.384804,5,2,C,B,Information of Interviewee
201005127,22.947009,91.677844,12,4,C,C,N/A
201370185,25.047394,92.314933,8,3,B,D,Na
201365183,25.010858,92.259268,15,6,C,C,No
201365184,25.010858,92.259268,15,7,B,C,No
201860246,25.913382,89.458696,6,1,C,D,o
102130134,22.95368,89.406051,5,2,B,B,N/A
102130133,22.949718,89.476198,0,0,C,E,Information about the owner.
102130135,22.94971,89.476206,0,0,B,E,No Rsc union.
202464341,24.54696,90.86596,0,0,B,E,Go another place
201951256,23.334932,90.817855,8,3,C,C,o
201503205,25.033556,89.129622,6,2,C,D,N /A
200224022,24.799673,90.864532,0,0,C,E,Information collect form nehabiour
200278025,24.799673,90.864532,0,0,C,E,Information collect form  ownership
201216171,24.956026,92.419038,8,3,B,C,Na
201216172,24.956026,92.419038,8,3,C,D,Na
200841099,22.53899,89.527018,7,2,B,D,na
200841100,22.526546,89.563727,6,2,C,B,na
104974274,24.78119,90.355306,3,3,B,C,N/A
104974275,24.78119,90.355306,0,0,B,E,He change business
200913110,23.090121,90.720142,5,2,C,B,O
104974272,24.791223,90.321774,8,4,C,B,N/a
104974273,24.791223,90.321774,7,3,B,B,N/a
106695323,23.001261,91.14423,8,2,C,D,NA
106695322,22.96988,91.141195,6,2,C,B,NA
101826105,23.614924,90.132383,5,3,C,D,N/A
106696320,23.037026,91.109135,6,2,C,C,NA
101825104,23.614879,90.132461,5,2,D,D,Ownership of RSC change
202419337,24.54696,90.86596,7,4,B,D,N/A
202419338,24.54696,90.86596,0,0,B,E,Go other place
202419339,24.54696,90.86596,7,4,C,D,N/A
201951255,23.350417,90.768357,4,1,B,C,o
101825103,23.620139,90.130689,0,0,C,E,"present no Rsc "
101927107,22.733292,89.464818,8,2,D,D,"Change the name of RSC "
100708045,22.733292,89.464818,5,1,C,E,There is no present follow this RSC as Gongarampur.
105683301,22.610102,89.645761,15,6,C,D,Na
101927108,22.76187,89.703066,0,0,D,E,There is no the name of RSC as Bismilla in this Union.
200913109,23.063264,90.741115,4,2,C,B,O
106290308,24.986526,90.037459,6,2,C,C,Running
106696321,23.037026,91.109135,5,2,B,D,NA
202576348,24.956026,92.419038,5,2,B,C,Na
201952257,23.329555,90.688331,2,1,B,E,RSC is closed.
103549182,23.42158,89.217486,10,3,C,B,No
