Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,"Type of school ","SStotMteacher:Number of male teachers at school ","SStotFteacher:Number of female teachers at school ","SStotboys:Number of total boys at school ","SStotgirls:Number of total girls at school ","SSwater:Main source of drinking water at school ","5specifySSwater:Main source of drinking water at school ","SSGlatBRAC:Number of separate latrine for girls from BRAC & school authority ",SSGlat: Number of separate  latrine for girls other than BRAC,"SSBlat:Number of latrine for boys  ","SSUG:Number of urinal for girls ","SSUB: Number of urinal for boys ","SS01aABRAC:Number of latrine for girls from BRAC & school ","SS01aBBRAC:Number of latrine for girls from BRAC & school  ","SS01aCBRAC:Number of latrine for girls from BRAC & school ","SS01aDBRAC:Number of latrine for girls from BRAC & school ","SS01aEBRAC: Number of latrine for girls from BRAC & school ","SS01cAoth:Number of other latrine for girls ","SS01cBoth:Number of other latrine for girls ","SS01cCoth: Number of other latrine for girls ","SS01cDoth:Number of other latrine for girls ","SS01cEoth:Number of other latrine for girls ",SS01bAboys: Number of latrine for boys,"SS01bBboys:Number of latrine for boys ","SS01bCboys:Number of latrine for boys ","SS01bDboys: Number of latrine for boys ","SS01bEboys: Number of latrine for boys ","SS02: Student Brigade ","SS03: Menstrual hygiene management ","SS04:Performance of School WASH Committee "
415986264,24.777133,89.394126,"Co-education ",9,3,278,83,3,,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,C,A,A
414567294,24.607362,90.080596,"Co-education ",11,2,198,195,3,,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,B,C,C
410101010,24.836865,89.003294,girls only,8,3,0,211,3,,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,C,E,C
416797201,23.648161,90.596591,"Co-education ",15,5,1123,1246,3,,2,2,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,C,A,D
414567291,24.618739,90.035918,"Co-education ",14,1,412,299,5,Rowarpump,2,1,4,0,3,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,C,E,C
521604110,22.407754,89.257682,"Co-education ",10,1,106,78,5,RWHS,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,B,A,B
520635256,24.925991,91.430001,"Co-education ",12,1,386,471,3,,2,2,2,0,4,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,E,C,E
415179358,23.149976,91.224946,"Co-education ",8,2,350,400,4,,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,C,C,C
414567293,24.54053,90.130446,"Co-education ",8,2,227,187,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,E,B
414771068,22.990063,89.177698,"Co-education ",11,1,101,149,4,,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,A,A
416391177,23.846466,89.817139,"Co-education ",8,5,205,237,3,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,A,A
410809250,23.176906,90.468542,"Co-education ",9,3,247,295,4,,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,C
416391176,23.848015,89.817743,girls only,10,10,0,429,3,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A
414771069,22.9454,89.234297,"Co-education ",17,4,334,259,0,,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,A,A
411011024,25.902342,88.631951,girls only,10,4,0,294,3,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D,C,D
411011027,25.965482,88.6646,"Co-education ",13,3,171,156,3,,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,D,D,E
414669170,23.345231,89.551017,"Co-education ",9,3,223,248,3,,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,A,A,B
414669168,23.330749,89.576925,"Co-education ",11,4,342,316,3,,2,1,1,0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,A,B,A
414669171,23.383851,89.570688,"Co-education ",5,0,98,130,3,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,A,E,A
416391175,23.843577,89.820223,"Co-education ",18,4,628,564,3,,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,A,B,A
414567298,24.541699,90.062327,"Co-education ",15,7,350,300,3,,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,E,B
410102007,24.757153,89.093485,"Co-education ",9,3,110,142,3,,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,C,E,B
410102006,24.760903,89.12684,"Co-education ",13,2,175,139,3,,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,C,E,D
410102005,24.711322,89.096284,"Co-education ",6,3,53,137,5,Submarcible motor,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,E,B
520975318,23.207574,90.81761,"Co-education ",9,1,215,297,4,,2,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,C,C,C
520975320,23.199385,90.84213,"Co-education ",10,1,122,234,4,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,C,C,C
415176361,23.16943,91.192238,"Co-education ",7,0,138,212,3,,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,B,D,C
414668166,23.418282,89.562525,"Co-education ",6,1,133,60,3,,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,A,E,A
411011025,25.904831,88.603765,"Co-education ",15,1,233,176,3,,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,D,C,E
411011026,25.93914,88.641796,"Co-education ",12,4,299,176,1,,2,0,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,D,C,D
414567296,24.578306,90.08687,"Co-education ",10,2,211,177,1,,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,B,C,A
410101021,24.847463,89.04437,"Co-education ",11,3,70,86,3,,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D,E,D
410101008,24.847338,89.022481,"Co-education ",8,2,133,122,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,C,A,B
410101009,24.826345,89.054668,"Co-education ",14,1,80,74,3,,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,C,C,D
414567295,24.618739,90.035918,"Co-education ",9,4,166,201,3,,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C,E,C
410607289,24.233574,90.026873,girls only,8,5,0,273,3,,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,B,A,B
414668167,23.409698,89.523652,"Co-education ",10,2,185,217,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A,A,A
414668165,23.37032,89.549969,"Co-education ",10,2,290,208,3,,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,E,A
412636187,25.122813,90.374369,"Co-education ",6,1,179,230,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,B,B
415176359,23.204069,91.175199,"Co-education ",8,1,123,93,3,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,C,D,A
415176360,23.198355,91.209773,"Co-education ",11,2,196,255,3,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C
415176362,23.335836,90.700151,"Co-education ",9,3,305,343,3,,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,B,E,D
415176363,23.329405,90.688399,"Co-education ",10,2,230,250,3,,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,B,C,D
410708089,22.700302,89.480847,girls only,7,3,0,191,4,,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,C,E,E
410708088,22.693419,89.525013,"Co-education ",9,5,264,161,4,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,C,A,C
410708090,22.625689,89.429768,"Co-education ",9,3,126,109,4,,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,C,D,E
522234259,24.925984,91.429912,"Co-education ",9,3,303,322,4,,2,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,C,C,C
410607288,24.256999,90.040045,"Co-education ",11,0,164,111,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,B
520955315,23.155508,90.775582,"Co-education ",14,1,285,513,5,Motor,2,2,2,0,2,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,C,B,C
410607284,24.221621,90.019478,"Co-education ",11,3,230,232,3,,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,A,A,A
410607287,24.235284,89.987771,"Co-education ",8,1,128,61,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,A,A,A
411214034,23.54064,89.633645,"Co-education ",10,1,141,223,3,,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,B,B
411214035,23.54064,89.633645,"Co-education ",12,3,248,307,3,,2,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B,A,B
414363342,22.029131,92.083332,girls only,7,2,0,305,4,,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,A,C
520857100,22.593061,89.487922,"Co-education ",10,2,72,88,5,r w h s,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,A,A,A
411724127,24.690852,89.527232,"Co-education ",9,3,103,148,5,motor supply,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,A,B
411724149,24.679999,89.531747,"Co-education ",9,3,168,130,3,,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,B,D,B
411825015,23.618558,90.109997,girls only,12,19,0,1860,4,,2,5,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,C,A,D
521370280,25.003277,92.258388,"Co-education ",13,2,295,384,5,Supply water motor,2,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,B,A,B
411724138,24.690852,89.527232,girls only,7,3,0,378,3,,2,3,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,B,A,B
415481033,25.612723,88.915007,"Co-education ",8,4,190,251,3,,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,C,C,D
415481029,25.606707,88.855176,"Co-education ",16,3,75,125,3,,2,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,C,C,C
520809093,22.456854,89.554329,"Co-education ",8,2,100,135,5,r w h s,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,B,B
520809095,22.476205,89.557362,"Co-education ",11,2,104,105,5,open pond,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,B,B
521216278,25.042991,92.085724,girls only,6,4,0,252,3,,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C,A,C
521216277,25.002128,92.253633,"Co-education ",13,2,384,355,5,Water supply motor,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,B,A,C
412636186,25.1415,90.340322,"Co-education ",12,6,804,310,3,,2,2,3,2,10,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,B,B,B
415481031,25.612723,88.915007,"Co-education ",4,4,55,135,3,,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,D,D,D
415481030,25.663236,88.891104,"Co-education ",10,1,108,113,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,D,D,E
415481028,25.639015,88.861272,"Co-education ",12,4,96,88,3,,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,D,C,E
413853061,22.907322,89.21702,"Co-education ",12,1,42,58,3,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A
411825017,23.618558,90.109997,"Co-education ",13,4,112,203,4,,2,1,2,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,C,A,D
411825016,23.600394,90.088746,"Co-education ",17,7,420,590,4,,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,C,C,D
414364344,22.027868,92.053234,"Co-education ",13,1,355,424,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,A,A
414364346,22.00862,92.055137,"Co-education ",15,1,426,553,3,,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,B,A,A
414364345,22.00967,92.04377,"Co-education ",7,1,127,182,4,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,A,A
413752223,24.658672,90.811289,"Co-education ",9,0,219,167,1,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,A,A
412636188,25.1415,90.340322,"Co-education ",8,2,90,110,1,,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,C,B,B
412636183,25.1415,90.340322,girls only,6,5,0,752,3,,2,7,0,0,0,1,1,0,0,0,0,4,3,0,0,0,0,0,0,0,C,A,B
412636184,25.100512,90.338162,"Co-education ",15,7,902,443,3,,2,2,4,2,6,1,1,0,0,0,0,1,1,0,0,0,2,2,0,0,C,B,B
412636185,25.100512,90.338162,girls only,7,7,0,294,3,,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,B,B
413853060,22.868452,89.205014,"Co-education ",12,3,133,105,0,,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,A,A,A
413550070,23.279716,89.194344,"Co-education ",10,2,147,165,4,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A,A,A
413853058,22.885509,89.214517,"Co-education ",9,3,184,92,4,,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
413550071,23.294504,89.153772,girls only,5,7,0,439,4,,2,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,A,A,A
520956316,23.166704,90.760052,"Co-education ",14,1,211,275,4,,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,C,C,C
522464153,24.589608,90.845924,"Co-education ",7,1,241,173,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,D,B,C
522464154,24.589608,90.845924,"Co-education ",17,5,911,910,1,,2,2,2,2,2,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,D,B,C
522417151,24.54696,90.86596,"Co-education ",7,1,282,230,4,,2,1,3,0,6,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,D,A,C
413853059,22.907322,89.21702,"Co-education ",8,3,84,78,0,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
412636189,25.10055,90.338171,"Co-education ",7,3,229,252,3,,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,D,E,D
411826018,23.613893,90.102967,"Co-education ",6,3,70,145,4,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,C
413854155,23.797976,89.300474,"Co-education ",11,2,355,315,3,,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,A,A,A
413854157,23.800941,89.29142,"Co-education ",7,5,95,120,0,,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,A,A,A
413854156,23.800941,89.29142,girls only,5,1,0,120,3,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,C
522012114,22.506179,89.255981,"Co-education ",9,0,79,86,0,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A,A,A
522012113,22.533347,89.249872,"Co-education ",10,2,226,202,5,PSF,2,2,2,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,A,A,A
520807091,22.528409,89.567455,"Co-education ",21,5,460,218,5,open pond,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,B,A,B
520807092,22.542062,89.522634,"Co-education ",7,1,93,70,0,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,B,B,B
520841098,22.531996,89.530911,"Co-education ",9,2,84,60,5,r w h s,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,B
413549072,23.439192,89.229558,"Co-education ",8,0,84,106,4,,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,E,A
414363340,22.010973,92.117305,"Co-education ",14,3,276,374,3,,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,B,A,B
414363341,22.02572,92.087804,"Co-education ",19,4,594,684,3,,2,2,3,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,B,A,B
414363343,22.041994,92.100648,"Co-education ",11,2,347,362,4,,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,B,A,B
522072117,22.582375,89.336376,girls only,8,2,0,110,3,,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
415784037,23.453101,89.781127,"Co-education ",7,2,156,290,3,,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,B,A,A
415784038,23.415708,89.785538,"Co-education ",12,3,456,541,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,B,D,A
520224216,24.799673,90.864532,girls only,9,4,0,250,3,,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A
521370281,25.003277,92.258388,"Co-education ",7,2,140,343,0,,2,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,C,C,C
520278218,24.799673,90.864532,"Co-education ",16,2,472,415,4,,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,A,A,A
521365279,25.002128,92.253633,"Co-education ",11,1,457,398,3,,2,2,3,0,3,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,C,C,C
520208215,24.799673,90.864532,girls only,6,4,0,451,5,Deep-Motor,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A
520278219,24.799673,90.864532,"Co-education ",9,0,247,241,5,Latrine  Attachat   Tuble,2,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,A,A,A
413854158,23.900704,89.106842,"Co-education ",10,2,240,220,3,,2,2,3,0,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,A,A,C
413854159,23.897703,89.111591,"Co-education ",6,4,130,170,3,,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,A,C
520857101,22.602531,89.449225,"Co-education ",12,4,168,146,5,r w h s,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,B
520208214,24.813722,90.856121,"Co-education ",8,4,497,439,5,Motor,2,0,3,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,A,A,A
520841097,22.50634,89.52353,"Co-education ",12,2,196,197,5,r w h s,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B,A,B
520841099,22.501557,89.500117,"Co-education ",11,2,118,128,5,r w h s,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,B,A,B
412130107,22.919785,89.386553,"Co-education ",18,8,741,333,2,,2,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,B,E,C
412130108,22.978102,89.466275,girls only,12,3,0,448,4,,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,A,A,A
520511261,24.80194,91.786461,"Co-education ",9,3,249,247,4,,2,1,3,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,B,A,C
520511260,24.815218,91.750398,girls only,10,9,0,850,4,,2,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,A,A,A
520511263,24.796438,91.761584,"Co-education ",10,3,173,126,3,,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,A,A,A
520511262,24.791254,91.766877,girls only,6,3,0,159,4,,2,2,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,A,A,A
520731266,25.085103,91.761428,"Co-education ",16,3,509,610,4,,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,B,A,C
416087300,24.618737,90.035902,"Co-education ",11,1,209,204,1,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,A,B
416087301,24.618737,90.035902,"Co-education ",10,1,153,135,3,,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,B,E,B
520913312,23.084127,90.732684,"Co-education ",8,1,158,248,4,,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,C,D,C
520224217,24.799673,90.864532,"Co-education ",8,1,150,140,3,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A
416087299,24.618737,90.035902,"Co-education ",9,3,235,232,3,,2,2,2,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,C,A,B
415885246,24.946439,89.562866,"Co-education ",7,2,261,278,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,B
415885224,24.929866,89.570219,"Co-education ",6,2,143,158,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,B,B,B
415885235,24.891508,89.557819,"Co-education ",7,1,152,157,1,,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,B,E,D
414974193,24.778639,90.340414,"Co-education ",9,5,240,204,3,,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C,B,C
521951331,23.357097,90.810998,"Co-education ",13,0,296,345,4,,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,C,C,C
521952332,23.428612,90.752652,"Co-education ",10,2,313,293,4,,2,1,1,0,4,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,D,C,D
414974192,24.768941,90.355729,"Co-education ",11,3,138,216,3,,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,C,C,C
415683001,22.524523,89.709405,"Co-education ",7,3,109,111,5,Pond,2,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,C,E,E
411927103,22.76187,89.703066,girls only,12,2,0,188,4,,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,C,E,E
410910022,25.356314,88.893519,"Co-education ",10,0,180,195,3,,2,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,C,D,C
522546282,24.950906,92.422107,"Co-education ",15,3,300,450,3,,2,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,B,C,C
410910020,25.37446,88.875081,"Co-education ",6,3,108,115,3,,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,D,D,C
410910019,25.372733,88.866118,"Co-education ",12,2,153,197,3,,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,C,C,C
410910023,25.366964,88.882356,"Co-education ",9,2,138,113,3,,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,D,D,D
414974190,24.791053,90.321916,"Co-education ",9,5,317,348,3,,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C,E,B
414974194,24.775548,90.356739,"Co-education ",4,4,130,155,3,,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C,C,B
521953333,23.37885,90.768886,"Co-education ",14,2,252,367,5,water supply brac,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,D,A,A
416290252,24.998635,90.011252,"Co-education ",6,3,146,147,4,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,B,E,A
416290254,24.998635,90.011252,"Co-education ",7,4,200,211,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,E,A
416290251,24.978795,90.075802,"Co-education ",9,3,182,234,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A,A,B
416290255,24.970577,90.061489,"Co-education ",6,4,250,138,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,A,A
416696236,23.048499,91.092163,"Co-education ",11,1,140,210,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,A,A
522576283,24.956055,92.419013,"Co-education ",17,4,353,820,4,,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,B,C,D
412940257,24.70591,91.536981,"Co-education ",9,2,334,395,4,,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,C,A,A
412940258,24.70579,91.536859,"Co-education ",8,1,276,150,4,,2,1,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,C,E,C
414058181,24.512474,92.014996,"Co-education ",8,5,458,592,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,C,A,B
520428122,24.171896,90.932451,"Co-education ",13,7,372,550,3,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D,A,D
520436123,24.068495,90.980656,"Co-education ",8,3,612,832,3,,2,2,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,D,A,D
414159161,23.877788,89.094285,"Co-education ",12,8,378,475,4,,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,A,A,D
414159163,23.877788,89.094285,"Co-education ",12,5,700,571,3,,2,1,1,4,3,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,B,A,D
521438130,24.264848,90.845387,"Co-education ",12,3,415,516,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,B,C,A
414159164,23.931445,89.089777,girls only,5,4,0,452,3,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,B,B,A
413244321,23.332017,90.960726,"Co-education ",7,1,143,258,0,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D,E,D
413244322,23.341611,90.888812,"Co-education ",12,2,222,355,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,D,E,D
521438129,24.266735,90.827508,"Co-education ",7,2,348,430,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,C,E,C
522133231,25.011724,90.666089,"Co-education ",10,5,401,411,3,,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,D,C,E
522133230,24.942408,90.610878,"Co-education ",11,1,268,272,3,,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,D,C,D
522125228,24.998742,90.60485,"Co-education ",6,2,130,108,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,D,D,D
522102225,24.942408,90.610878,"Co-education ",11,4,259,349,3,,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,D,C,D
